"","assessid","short_id"
"63","DFO-PAC-HERRWCVANI-1951-2007-COLLIE","DFO63"
"64","DFO-PAC-PCODHS-1956-2005-COLLIE","DFO64"
"65","DFO-PAC-PCODWCVANI-1956-2002-COLLIE","DFO65"
"66","DFO-PAC-RSOLEHSTR-1945-2001-COLLIE","DFO66"
"67","DFO-POLL4X5YZ-1980-2006-PREFONTAINE","DFO67"
"68","DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE","DFO68"
"69","DFO-QUE-HERR4RSP-1963-2004-PREFONTAINE","DFO69"
"70","DFO-SG-COD4TVn-1965-2009-RICARD","DFO70"
"71","DFO-SG-HERR4TFA-1974-2007-PREFONTAINE","DFO71"
"72","DFO-SG-HERR4TSP-1974-2007-PREFONTAINE","DFO72"
"73","HAWG-HERRNIRS-1960-2006-JENNINGS","HAWG73"
"74","HAWG-HERRNS-1960-2007-MINTO","HAWG74"
"75","HAWG-HERRVIa-1957-2006-MINTO","HAWG75"
"76","HAWG-HERRVIaVIIbc-1969-2000-MINTO","HAWG76"
"77","ICCAT-ALBANATL-1929-2005-WORM","ICCAT77"
"78","ICCAT-ATBTUNAEATL-1969-2007-WORM","ICCAT78"
"79","ICCAT-BIGEYEATL-1950-2005-JENSEN","ICCAT79"
"80","ICCAT-SKJEATL-1950-2006-JENSEN","ICCAT80"
"81","ICCAT-SKJWATL-1952-2006-JENSEN","ICCAT81"
"82","ICCAT-SWORDMED-1968-2006-JENSEN","ICCAT82"
"83","ICCAT-SWORDNATL-1978-2007-JENSEN","ICCAT83"
"84","ICCAT-SWORDSATL-1970-2005-JENSEN","ICCAT84"
"85","ICCAT-YFINATL-1970-2006-JENSEN","ICCAT85"
"86","INIDEP-ARGHAKENARG-1985-2007-Parma","INIDEP86"
"87","INIDEP-ARGHAKESARG-1985-2008-Parma","INIDEP87"
"88","INIDEP-PATGRENADIERSARG-1983-2006-Parma","INIDEP88"
"89","INIDEP-SBWHITARGS-1985-2007-Parma","INIDEP89"
"90","MARAM-ANCHOSA-1984-2006-deMoor","MARAM90"
"91","MARAM-CHAKESA-1917-2008-DEDECKER","MARAM91"
"92","MARAM-CRLOBSTERSA12-1910-2008-Johnston","MARAM92"
"93","MARAM-CRLOBSTERSA34-1910-2008-Johnston","MARAM93"
"94","MARAM-CRLOBSTERSA56-1910-2008-Johnston","MARAM94"
"95","MARAM-CRLOBSTERSA7-1910-2008-Johnston","MARAM95"
"96","MARAM-CRLOBSTERSA8-1910-2008-Johnston","MARAM96"
"97","MARAM-CTRACSA-1950-2007-Johnston","MARAM97"
"98","MARAM-DEEPCHAKESA-1917-2008-DEDECKER","MARAM98"
"99","MARAM-KINGKLIPSA-1932-2008-DEDECKER","MARAM99"
"100","MARAM-PTOOTHFISHPEI-1960-2008-DEDECKER","MARAM100"
"101","MARAM-SAABALONESA-1951-2008-PLAGANYI","MARAM101"
"102","MARAM-SARDSA-1984-2006-deMoor","MARAM102"
"103","MARAM-SSLOBSTERSASC-1973-2008-Johnston","MARAM103"
"104","NAFO-SC-AMPL3LNO-1955-2007-BAUM","NAFO104"
"105","NAFO-SC-AMPL3M-1960-2007-BAUM","NAFO105"
"106","NAFO-SC-COD3M-1959-2008-BAUM","NAFO106"
"107","NAFO-SC-COD3NO-1953-2007-BAUM","NAFO107"
"108","NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE","NAFO108"
"109","NAFO-SC-REDFISHSPP3LN-1959-2008-BAUM","NAFO109"
"110","NAFO-SC-YELL3LNO-1960-2009-BAUM","NAFO110"
"111","NEFSC-AMPL5YZ-1960-2008-OBRIEN","NEFSC111"
"112","NEFSC-ATHAL5YZ-1800-2007-COL","NEFSC112"
"113","NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD","NEFSC113"
"114","NEFSC-BSBASSMATLC-1968-2007-SHEPHERD","NEFSC114"
"115","NEFSC-CODGB-1960-2008-BAUM","NEFSC115"
"116","NEFSC-CODGOM-1893-2008-BAUM","NEFSC116"
"117","NEFSC-HAD5Y-1956-2008-BAUM","NEFSC117"
"118","NEFSC-HADGB-1930-2008-BAUM","NEFSC118"
"119","NEFSC-MONKGOMNGB-1964-2006-RICHARDS","NEFSC119"
"120","NEFSC-MONKSGBMATL-1964-2006-RICHARDS","NEFSC120"
"121","NEFSC-QUAHATLC-1978-2008-CHUTE","NEFSC121"
"122","NEFSC-SCALLGB-1964-2006-HART","NEFSC122"
"123","NEFSC-SCALLMATLC-1964-2006-HART","NEFSC123"
"124","NEFSC-SFLOUNMATLC-1940-2007-BAUM","NEFSC124"
"125","NEFSC-TILEMATLC-1973-2008-NITSCHKE","NEFSC125"
"126","NEFSC-WHAKEGBGOM-1963-2007-SOSEBEE","NEFSC126"
"127","NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON","NEFSC127"
"128","NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO","NEFSC128"
"129","NEFSC-YELLCCODGOM-1935-2008-LEGAULT","NEFSC129"
"130","NEFSC-YELLGB-1935-2008-BAUM","NEFSC130"
"131","NEFSC-YELLSNEMATL-1935-2008-BAUM","NEFSC131"
"132","NIWA-AUSSALMONNZ-1975-2006-JENSEN","NIWA132"
"133","NIWA-OROUGHYNZMEC-1981-2004-JENSEN","NIWA133"
"134","NMFS-MENATLAN-1940-2005-STANTON","NMFS134"
"135","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","NWFSC135"
"136","NWFSC-BGROCKPCOAST-1950-2005-STANTON","NWFSC136"
"137","NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH","NWFSC137"
"138","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH","NWFSC138"
"139","NWFSC-BLUEROCKCAL-1916-2007-BRANCH","NWFSC139"
"140","NWFSC-BOCACCSPCOAST-1951-2006-BRANCH","NWFSC140"
"141","NWFSC-CHILISPCOAST-1892-2007-BRANCH","NWFSC141"
"142","NWFSC-COWCODSCAL-1900-2007-BRANCH","NWFSC142"
"143","NWFSC-CROCKPCOAST-1916-2009-Stachura","NWFSC143"
"144","NWFSC-DKROCKPCOAST-1928-2007-BRANCH","NWFSC144"
"145","NWFSC-ESOLEPCOAST-1876-2007-BRANCH","NWFSC145"
"146","NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON","NWFSC146"
"147","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH","NWFSC147"
"148","NWFSC-LSTHORNHPCOAST-1962-2005-STANTON","NWFSC148"
"149","NWFSC-PHAKEPCOAST-1966-2008-BRANCH","NWFSC149"
"150","NWFSC-POPERCHPCOAST-1953-2007-BRANCH","NWFSC150"
"151","NWFSC-PSOLENPCOAST-1910-2005-STANTON","NWFSC151"
"152","NWFSC-PSOLESPCOAST-1874-2005-STANTON","NWFSC152"
"153","NWFSC-SABLEFPCOAST-1900-2007-BRANCH","NWFSC153"
"154","NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","NWFSC154"
"155","NWFSC-WROCKPCOAST-1955-2006-BRANCH","NWFSC155"
"156","NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH","NWFSC156"
"157","NWFSC-YTROCKNPCOAST-1967-2005-STANTON","NWFSC157"
"158","NWWG-CAPEICE-1977-2007-MINTO","NWWG158"
"159","NWWG-CODFAPL-1959-2006-MINTO","NWWG159"
"160","NWWG-CODICE-1952-2006-MINTO","NWWG160"
"161","NWWG-HADFAPL-1955-2006-MINTO","NWWG161"
"162","NWWG-HADICE-1977-2007-MINTO","NWWG162"
"163","NWWG-POLLFAPL-1958-2006-MINTO","NWWG163"
"164","NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN","NZMFishDEEPWATER164"
"165","NZMFishDEEPWATER-SMOOTHOREOCR-1979-2006-JENSEN","NZMFishDEEPWATER165"
"166","NZMFishDEEPWATER-SMOOTHOREOWECR-1973-2004-JENSEN","NZMFishDEEPWATER166"
"167","NZMFishHOKIWG-HOKIENZ-1972-2007-FRANCIS","NZMFishHOKIWG167"
"168","NZMFishHOKIWG-HOKIWNZ-1972-2007-FRANCIS","NZMFishHOKIWG168"
"169","NZMFishINSHOREWG-NZSNAPNZ8-1931-2005-JENSEN","NZMFishINSHOREWG169"
"170","NZMFishINSHOREWG-TREVALLYTRE7-1944-2005-JENSEN","NZMFishINSHOREWG170"
"171","NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2001-JENSEN","NZMFishLOBSTERWG171"
"172","NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2001-JENSEN","NZMFishLOBSTERWG172"
"173","NZMFishLOBSTERWG-RROCKLOBSTERCRA3-1945-2007-JENSEN","NZMFishLOBSTERWG173"
"174","NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2005-JENSEN","NZMFishLOBSTERWG174"
"175","NZMFishLOBSTERWG-RROCKLOBSTERCRA5-1945-2002-JENSEN","NZMFishLOBSTERWG175"
"176","NZMFishLOBSTERWG-RROCKLOBSTERCRA7-1976-2005-JENSEN","NZMFishLOBSTERWG176"
"177","NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1976-2005-JENSEN","NZMFishLOBSTERWG177"
"178","NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN","NZMFishMIDDEPTHSWG178"
"179","NZMFishMIDDEPTHSWG-NZLINGLIN3-4-1972-2007-JENSEN","NZMFishMIDDEPTHSWG179"
"180","NZMFishMIDDEPTHSWG-NZLINGLIN5-6-1972-2007-JENSEN","NZMFishMIDDEPTHSWG180"
"181","NZMFishMIDDEPTHSWG-NZLINGLIN6b-1980-2006-JENSEN","NZMFishMIDDEPTHSWG181"
"182","NZMFishMIDDEPTHSWG-NZLINGLIN72-1972-2007-JENSEN","NZMFishMIDDEPTHSWG182"
"183","NZMFishMIDDEPTHSWG-NZLINGLIN7WC-1972-2008-JENSEN","NZMFishMIDDEPTHSWG183"
"184","NZMFishMIDDEPTHSWG-SBWHITACIR-1979-2006-JENSEN","NZMFishMIDDEPTHSWG184"
"185","NZMFishMIDDEPTHSWG-SOUTHHAKECR-1975-2006-JENSEN","NZMFishMIDDEPTHSWG185"
"186","NZMFishMIDDEPTHSWG-SOUTHHAKESA-1975-2007-JENSEN","NZMFishMIDDEPTHSWG186"
"187","NZMFishSHELLFISHWG-PAUAPAU5A-1964-2006-JENSEN","NZMFishSHELLFISHWG187"
"188","NZMFishSHELLFISHWG-PAUAPAU5B-1963-2007-JENSEN","NZMFishSHELLFISHWG188"
"189","NZMFishSHELLFISHWG-PAUAPAU5D-1964-2006-JENSEN","NZMFishSHELLFISHWG189"
"190","NZMFishSHELLFISHWG-PAUAPAU7-1964-2008-JENSEN","NZMFishSHELLFISHWG190"
"191","RIDEM-LOBSTERRI-1959-2007-COLLIE","RIDEM191"
"192","RIDEM-TAUTOGRI-1959-2007-COLLIE","RIDEM192"
"193","RIDEM-WINFLOUNDRI-1959-2007-COLLIE","RIDEM193"
"194","SEFSC-BHEADSHARATL-1950-2005-FAUCONNET","SEFSC194"
"195","SEFSC-BTIPSHARATL-1981-2004-FAUCONNET","SEFSC195"
"196","SEFSC-BTIPSHARGM-1981-2004-FAUCONNET","SEFSC196"
"197","SEFSC-GAGGM-1963-2004-JENSEN","SEFSC197"
"198","SEFSC-MENATGM-1964-2004-GILROY","SEFSC198"
"199","SEFSC-RGROUPGM-1986-2005-JENSEN","SEFSC199"
"200","SEFSC-RPORGYSATLC-1972-2004-JENSEN","SEFSC200"
"201","SEFSC-SBARSHARATL-1975-2004-FAUCONNET","SEFSC201"
"202","SEFSC-SNOWGROUPSATLC-1961-2002-STANTON","SEFSC202"
"203","SEFSC-SPANMACKSATLC-1950-2008-JENSEN","SEFSC203"
"204","SEFSC-TILESATLC-1961-2002-STANTON","SEFSC204"
"205","SEFSC-VSNAPSATLC-1946-2008-STANTON","SEFSC205"
"206","SPC-ALBASPAC-1959-2006-JENSEN","SPC206"
"207","SPC-BIGEYEWPO-1952-2006-JENSEN","SPC207"
"208","SPC-SKJCWPAC-1972-2006-JENSEN","SPC208"
"209","SPC-STMARLINSWPO-1950-2003-JENSEN","SPC209"
"210","SPC-YFINCWPAC-1952-2005-JENSEN","SPC210"
"211","SPRFMO-CHTRACCH-1950-2010-RICARD","SPRFMO211"
"212","SWFSC-DSOLEPCOAST-1910-2005-STANTON","SWFSC212"
"213","SWFSC-GOPHERSPCOAST-1965-2005-STANTON","SWFSC213"
"214","SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","SWFSC214"
"215","SWFSC-STFLOUNNPCOAST-1970-2005-STANTON","SWFSC215"
"216","SWFSC-STFLOUNSPCOAST-1970-2005-STANTON","SWFSC216"
"217","WGBFAS-CODBA2224-1969-2007-JENNINGS","WGBFAS217"
"218","WGBFAS-CODBA2532-1964-2007-JENNINGS","WGBFAS218"
"219","WGBFAS-CODKAT-1970-2006-MINTO","WGBFAS219"
"220","WGBFAS-HERR2532-1973-2006-JENNINGS","WGBFAS220"
"221","WGBFAS-HERR30-1972-2007-JENNINGS","WGBFAS221"
"222","WGBFAS-HERR31-1979-2006-JENNINGS","WGBFAS222"
"223","WGBFAS-HERRIsum-1983-2007-JENNINGS","WGBFAS223"
"224","WGBFAS-HERRRIGA-1976-2007-JENNINGS","WGBFAS224"
"225","WGBFAS-SOLEIIIa-1982-2007-JENNINGS","WGBFAS225"
"226","WGBFAS-SPRAT22-32-1973-2007-JENNINGS","WGBFAS226"
"227","WGHMM-FMEG8c9a-1986-2006-JENNINGS","WGHMM227"
"228","WGHMM-HAKENRTN-1977-2007-JENNINGS","WGHMM228"
"229","WGHMM-MEG8c9a-1985-2007-JENNINGS","WGHMM229"
"230","WGHMM-SOLEVIII-1982-2006-JENNINGS","WGHMM230"
"231","WGMHSA-MACKNEICES-1972-2007-JENNINGS","WGMHSA231"
"232","WGNPBW-BWHITNEA-1980-2007-JENNINGS","WGNPBW232"
"233","WGNSDS-CODIS-1968-2006-MINTO","WGNSDS233"
"234","WGNSDS-CODVIa-1977-2006-MINTO","WGNSDS234"
"235","WGNSDS-HADVIa-1977-2006-MINTO","WGNSDS235"
"236","WGNSDS-PLAICIS-1962-2006-MINTO","WGNSDS236"
"237","WGNSDS-SOLEIS-1968-2006-MINTO","WGNSDS237"
"238","WGNSSK-CODNS-1962-2007-MINTO","WGNSSK238"
"239","WGNSSK-HADNS-IIIa-1963-2006-MINTO","WGNSSK239"
"240","WGNSSK-NPOUTNS-1983-2007-MINTO","WGNSSK240"
"241","WGNSSK-POLLNS-VI-IIIa-1964-2006-MINTO","WGNSSK241"
"242","WGNSSK-SEELNS-1983-2007-MINTO","WGNSSK242"
"243","WGNSSK-SOLEVIId-1981-2006-MINTO","WGNSSK243"
"244","WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO","WGNSSK244"
"245","WGSSDS-PLAICCELT-1976-2006-JENNINGS","WGSSDS245"
"246","WGSSDS-PLAICECHW-1975-2006-JENNINGS","WGSSDS246"
"247","WGSSDS-SOLECS-1970-2006-JENNINGS","WGSSDS247"
"248","WGSSDS-SOLEVIIe-1968-2006-JENNINGS","WGSSDS248"
"249","WGSSDS-WHITVIIek-1982-2007-JENNINGS","WGSSDS249"
