"ASSESSID","B_msy","C_msy"
"NEFSC-WINDOWSNEMATL-1975-2007-HENDRICKSON",1.16497,2455.85100976168
"NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON",8113.19,2204.14091757925
"NEFSC-WINFLOUND5Y-1982-2008-NITSCHKE",NA,1917.98486626927
"NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO",94653.8,8167.07915796452
"NEFSC-WITFLOUN5Y-1982-2008-WIGLEY",NA,3332.88755327532
"NEFSC-YELLCCODGOM-1935-2008-LEGAULT",13580.4,2404.22606112211
"NEFSC-YELLGB-1935-2008-BAUM",33208,10680.8057985675
"NEFSC-YELLSNEMATL-1935-2008-BAUM",56219.4,16673.1560391158
"NIWA-AUSSALMONNZ-1975-2006-JENSEN",22408.1,2792.29444228064
"NIWA-OROUGHYNZMEC-1981-2004-JENSEN",131808,7013.40232673807
"NMFS-MENATLAN-1940-2005-STANTON",1479280,372220.743773961
"NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",48858.4,3961.21942549541
"NWFSC-BGROCKPCOAST-1950-2005-STANTON",16385.6,455.759304517922
"NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH",6591.31,396.44990347447
"NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH",14544.9,777.526334117465
"NWFSC-BLUEROCKCAL-1916-2007-BRANCH",6681.9,427.993636575536
"NWFSC-BOCACCSPCOAST-1951-2006-BRANCH",33390.9,3505.69503977926
"NWFSC-CHILISPCOAST-1892-2007-BRANCH",22913.7,2158.27708500134
"NWFSC-COWCODSCAL-1900-2007-BRANCH",2537.55,149.268183209234
"NWFSC-CROCKPCOAST-1916-2009-Stachura",34258.4,2255.3224540137
"NWFSC-DKROCKPCOAST-1928-2007-BRANCH",17023.4,926.896794563589
"NWFSC-ESOLEPCOAST-1876-2007-BRANCH",34901.5,3727.11608920951
"NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON",750.658,49.2409903848788
"NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH",45714.6,1040.711609903
"NWFSC-LSTHORNHPCOAST-1962-2005-STANTON",114779,3157.4939802319
"NWFSC-PHAKEPCOAST-1966-2008-BRANCH",4860850,298265.452569612
"NWFSC-POPERCHPCOAST-1953-2007-BRANCH",4.64e+16,3936.70951037178
"NWFSC-PSOLENPCOAST-1910-2005-STANTON",12444,1553.88004721109
"NWFSC-PSOLESPCOAST-1874-2005-STANTON",14116.6,1389.3109408801
"NWFSC-SABLEFPCOAST-1900-2007-BRANCH",231832,10194.0621068088
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON",93268.1,2160.24084622367
"NWFSC-WROCKPCOAST-1955-2006-BRANCH",131549,7944.34567299753
"NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH",3444.44,224.369319392239
"NWFSC-YTROCKNPCOAST-1967-2005-STANTON",99442.1,5319.27354496827
"NWWG-CAPEICE-1977-2007-MINTO",2423830,881059.165599207
"NWWG-CODFAPL-1959-2006-MINTO",99317.4,24637.9346980409
"NWWG-CODICE-1952-2006-MINTO",1475000,373274.375868865
"NWWG-HADFAPL-1955-2006-MINTO",95793.6,21340.5776400717
"NWWG-HADICE-1977-2007-MINTO",411348,77535.4590127664
"NWWG-POLLFAPL-1958-2006-MINTO",240557,50248.713572762
"NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN",112286,4233.60077963591
"NZMFishDEEPWATER-SMOOTHOREOCR-1979-2006-JENSEN",144956,6140.83067963786
"NZMFishDEEPWATER-SMOOTHOREOWECR-1973-2004-JENSEN",62066.6,3643.84384038918
"NZMFishHOKIWG-HOKIENZ-1972-2007-FRANCIS",660648,58136.7204734936
"NZMFishHOKIWG-HOKIWNZ-1972-2007-FRANCIS",1083490,110378.424653919
"NZMFishINSHOREWG-NZSNAPNZ8-1931-2005-JENSEN",53383.8,3860.20904591259
"NZMFishINSHOREWG-TREVALLYTRE7-1944-2005-JENSEN",31283.1,2552.87032225271
"NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2001-JENSEN",1550.94,269.011857980647
"NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2001-JENSEN",2233.71,458.465851415127
"NZMFishLOBSTERWG-RROCKLOBSTERCRA3-1945-2007-JENSEN",1117.87,448.915502670277
"NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2005-JENSEN",2453.88,781.546280764319
"NZMFishLOBSTERWG-RROCKLOBSTERCRA5-1945-2002-JENSEN",4205.56,528.950120767142
"NZMFishLOBSTERWG-RROCKLOBSTERCRA7-1976-2005-JENSEN",558.312,249.477315692319
"NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1976-2005-JENSEN",3342.21,1465.34257080912
"NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN",1.12e+15,1254.02081026939
"NZMFishMIDDEPTHSWG-NZLINGLIN3-4-1972-2007-JENSEN",91878.3,5286.39502138328
"NZMFishMIDDEPTHSWG-NZLINGLIN5-6-1972-2007-JENSEN",168477,8566.35079294122
"NZMFishMIDDEPTHSWG-NZLINGLIN6b-1980-2006-JENSEN",8746.48,583.112424870198
"NZMFishMIDDEPTHSWG-NZLINGLIN72-1972-2007-JENSEN",4700.54,447.152570734111
"NZMFishMIDDEPTHSWG-NZLINGLIN7WC-1972-2008-JENSEN",51353.8,2279.75982734496
"NZMFishMIDDEPTHSWG-SBWHITACIR-1979-2006-JENSEN",73932.1,22956.872122942
"NZMFishMIDDEPTHSWG-SOUTHHAKECR-1975-2006-JENSEN",43967.4,2159.05890222888
"NZMFishMIDDEPTHSWG-SOUTHHAKESA-1975-2007-JENSEN",61222.2,2571.70782224541
"NZMFishSHELLFISHWG-PAUAPAU5A-1964-2006-JENSEN",704.538,146.371367397991
"NZMFishSHELLFISHWG-PAUAPAU5B-1963-2007-JENSEN",1539.47,186.26248789734
"NZMFishSHELLFISHWG-PAUAPAU5D-1964-2006-JENSEN",904.785,156.729857226299
"NZMFishSHELLFISHWG-PAUAPAU7-1964-2008-JENSEN",1977.12,240.860032377916
"PFMC-LINGCODNPCOAST-1956-2005-STANTON",NA,1646.61646584534
