"ASSESSID","LME_NAME","SCIENTIFICNAME","COMMON","AREA","LME_NUMBER","LME_COUNT","BIOMASS_TS_LENGTH","LANDINGS_TS_LENGTH","B_msy","C_msy","if_collapse_cmsy","nyr_collapse_cmsy","if_collapse_bmsy","nyr_collapse_bmsy"
"CSIRO-BIGHTREDSE-1958-2007-FULTON","Southwest Australian Shelf","Centroberyx gerrardi","Bight redfish","Southeast Australia",43,1,50,49,389763,668.902878429822,0,0,1,50
"CSIRO-BTSHRIMPNAUST-1970-2006-FULTON","North Australian Shelf","Penaeus esculentus","Brown tiger shrimp","Northern Australia",39,1,0,37,NA,1465.0899967929,0,0,0,0
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON","Southwest Australian Shelf","Platycephalus conatus","Deepwater flathead","Southeast Australia",43,1,30,29,7626.82,1104.43427789007,0,0,0,0
"CSIRO-GEMFISHSE-1966-2007-FULTON","Southeast Australian Shelf","Rexea solandri","common gemfish","Southeast Australia",42,1,42,42,376410,2695.03601671457,0,0,1,42
"CSIRO-GTPRAWNNAUST-1970-2006-FULTON","North Australian Shelf","Penaeus esculentus","Grooved Tiger Prawn","Northern Australia",39,1,0,37,NA,1573.60972996707,0,0,0,0
"CSIRO-MORWONGSE-1913-2007-FULTON","Southeast Australian Shelf","Nemadactylus macropterus","Jackass morwong","Southeast Australia",42,1,95,95,26588.8,1484.8583747778,0,0,1,3
"CSIRO-NZLINGESE-1968-2007-FULTON","Southeast Australian Shelf","Genypterus blacodes","Ling","Southeast Australia",42,1,40,40,7133.25,904.069914592278,0,0,0,0
"CSIRO-NZLINGWSE-1968-2007-FULTON","Southwest Australian Shelf","Genypterus blacodes","Ling","Western half of Southeast Australia",43,1,40,40,1.5e+15,681.987389032484,0,0,1,40
"CSIRO-OROUGHYCASCADE-1987-2006-FULTON","Southeast Australian Shelf","Hoplostethus atlanticus","Orange roughy","Cascade Plateau",42,1,20,20,42132.8,1016.41513392452,0,0,0,0
"CSIRO-OROUGHYSE-1978-2007-FULTON","Southeast Australian Shelf","Hoplostethus atlanticus","Orange roughy","Southeast Australia",42,1,30,29,85184.3,7536.92646436172,0,0,0,0
"CSIRO-PTOOTHFISHMI-1975-2010-FAY","Subantarctic High Seas","Dissostichus eleginoides","Patagonian toothfish","Macquarie Island",-96,1,36,35,4199.27,166.535545191551,0,0,0,0
"CSIRO-SILVERFISHSE-1978-2006-FULTON","Southeast Australian Shelf","Seriolella punctata","Silverfish","Southeast Australia",42,1,29,29,12232,3028.10050326911,0,0,0,0
"CSIRO-SWHITSE-1945-2007-FULTON","Southeast Australian Shelf","Sillago flindersi","School whiting","Southeast Australia",42,1,63,63,7078.35,1651.46837473977,0,0,0,0
"CSIRO-TIGERFLATSE-1913-2006-FULTON","Southeast Australian Shelf","Neoplatycephalus richardsoni","Tiger flathead","Southeast Australia",42,1,94,93,24226.6,3415.22749881158,0,0,0,0
"CSIRO-WAREHOUESE-1984-2006-FULTON","Southeast Australian Shelf","Seriolella brama","Blue Warehou","Eastern half of Southeast Australia",42,1,23,23,9010.24,1005.68589642845,0,0,1,7
"CSIRO-WAREHOUWSE-1984-2006-FULTON","Southwest Australian Shelf","Seriolella brama","Blue Warehou","Western half of Southeast Australia",43,1,23,23,2103.89,445.432057609892,0,0,0,0
"DFO-COD5Zjm-1978-2003-PREFONTAINE","Northeast U.S. Continental Shelf","Gadus morhua","Atlantic cod","Georges Bank",7,1,26,25,3.19e+15,7883.55080489858,0,0,1,26
"DFO-HAD5Zejm-1968-2003-PREFONTAINE","Northeast U.S. Continental Shelf","Melanogrammus aeglefinus","Haddock","Georges Bank",7,1,35,34,403759,6975.73762037236,0,0,1,35
"DFO-HERR4VWX-1964-2006-PREFONTAINE","Scotian Shelf","Clupea harengus","Herring","Scotian Shelf and Bay of Fundy",8,1,42,0,NA,NA,0,0,0,0
"DFO-MAR-COD4VsW-1958-2002-PREFONTAINE","Scotian Shelf","Gadus morhua","Atlantic cod","Eastern Scotian Shelf",8,1,0,45,NA,44133.1126606663,0,0,0,0
"DFO-MAR-CUSK4X-1970-2007-RICARD","Northeast U.S. Continental Shelf","Brosme brosme","Cusk","Western Scotian Shelf",7,1,38,0,NA,NA,0,0,0,0
"DFO-MAR-HAD4X5Y-1960-2003-PREFONTAINE","Northeast U.S. Continental Shelf","Melanogrammus aeglefinus","Haddock","Western Scotian Shelf, Bay of Fundy and Gulf of Maine",7,2,34,44,277564,19469.8378511459,0,0,1,20
"DFO-NFLD-COD2J3KL-1850-2005-RICARD","Newfoundland-Labrador Shelf","Gadus morhua","Atlantic cod","Southern Labrador-Eastern Newfoundland",9,1,0,156,NA,NA,0,0,0,0
"DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE","Newfoundland-Labrador Shelf","Gadus morhua","Atlantic cod","Southern Labrador-Eastern Newfoundland",9,1,12,44,NA,405394.182362799,1,12,0,0
"DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE","Newfoundland-Labrador Shelf","Gadus morhua","Atlantic cod","St. Pierre Bank",9,1,28,46,230674,50328.7138968207,0,0,1,2
"DFO-PAC-ESOLEHS-1944-2001-COLLIE","Gulf of Alaska","Parophrys vetulus","English sole","Hecate Strait",2,1,58,58,2757.69,735.65042959058,0,0,0,0
"DFO-PAC-HERRCC-1951-2007-COLLIE","Gulf of Alaska","Clupea pallasii","Pacific herring","Central Coast",2,1,57,57,37276,17716.9387793911,0,0,0,1
"DFO-PAC-HERRPRD-1951-2007-COLLIE","Gulf of Alaska","Clupea pallasii","Pacific herring","Prince Rupert District",2,1,57,57,5.89e+15,NA,0,0,1,57
"DFO-PAC-HERRQCI-1951-2007-COLLIE","Gulf of Alaska","Clupea pallasii","Pacific herring","Queen Charlotte Islands",2,1,57,57,44812.6,NA,0,0,1,16
"DFO-PAC-HERRSOG-1951-2007-COLLIE","Gulf of Alaska","Clupea pallasii","Pacific herring","Straight of Georgia",2,1,57,57,82875.5,NA,0,0,0,1
"DFO-PAC-HERRWCVANI-1951-2007-COLLIE","Gulf of Alaska","Clupea pallasii","Pacific herring","West Coast of Vancouver Island",2,1,57,57,63187.1,15638.3738538319,1,2,1,2
"DFO-PAC-PCODHS-1956-2005-COLLIE","Gulf of Alaska","Gadus macrocephalus","Pacific cod","Hecate Strait",2,1,50,49,26222.6,3611.0024644098,0,0,1,3
