ASSESSID,COMMON,AREA,POINTS_AVAILABLE,BMSY,SSBMSY,BLIM,SSBLIM,SSBPA,SSBTARGET,UMSY,FMSY,FLIM
NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish,Gulf of Maine / Georges Bank,10,,271000,,,,,,,
NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice,Gulf of Maine / Georges Bank,18,,22243,,,,,,,
NEFSC-ATHAL5YZ-1800-2007-COL,Atlantic Halibut,Gulf of Maine / Georges Bank,27,49000,49000,,,,,,0.073,
NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD,Bluefish,Atlantic Coast,22,147052,,,,,,,0.19,
NEFSC-BSBASSMATLC-1968-2007-SHEPHERD,Black sea bass,Mid-Atlantic Coast,19,12892.3,12537,,,,,,,
NEFSC-BUTTERGOMCHATT-1965-2005-OVERHOLTZ,Atlantic butterfish,Gulf of Maine / Cape Hatteras,12,22798,,,,,,,0.38,
NEFSC-CODGB-1960-2008-BAUM,Atlantic cod,Georges Bank,18,,148084,,,,,,,
NEFSC-CODGOM-1893-2008-BAUM,Atlantic cod,Gulf of Maine,13,82830,,,,,,,0.237,
NEFSC-HAD5Y-1956-2008-BAUM,Haddock,Gulf of Maine,15,,5900,,,,,,,
NEFSC-HADGB-1930-2008-BAUM,Haddock,Georges Bank,14,,158873,,,,,,,
NEFSC-HERRNWATLC-1960-2005-OVERHOLTZ,Herring,Northwestern Atlantic Coast,15,,629000,,,,,,0.31,
NEFSC-MACKGOMCHATT-1960-2005-OVERHOLTZ,Mackerel,Gulf of Maine / Cape Hatteras,14,,644000,,,,,,0.16,
NEFSC-MONKGOMNGB-1964-2006-RICHARDS,Monkfish,Gulf of Maine / Northern Georges Bank,28,49000,49000,,,,,,0.073,
NEFSC-MONKSGBMATL-1964-2006-RICHARDS,Monkfish,Southern Georges Bank / Mid-Atlantic,27,,,,,,,,,
NEFSC-POLL5YZ-1963-2007-MAYO,Pollock,Gulf of Maine / Georges Bank,7,,,,,,,5.65,,
NEFSC-QUAHATLC-1978-2008-CHUTE,Ocean quahog,Atlantic Coast,19,,,,,,,,,
NEFSC-SCUPNWATLC-1960-2007-TERCEIRO,Scup,Northwestern Atlantic Coast,19,92044,,,,,,,,
NEFSC-SDOGATLC-1962-2006-SOSEBEE,Spiny dogfish,Atlantic Coast,3,,,,,,,,,
NEFSC-SFLOUNMATLC-1940-2007-BAUM,Summer flounder,Mid-Atlantic Coast,12,,60074,30037,,,,,,
NEFSC-SHAKEGOMNGB-1955-2005-COL,Silver Hake,Gulf of Maine / Georges Bank,9,,,,,,,2.57,,
NEFSC-SHAKESGBMATL-1955-2005-COL,Silver Hake,Southern Georges Bank / Mid-Atlantic,10,,,,,,,34.39,,
NEFSC-STRIPEDBASSGOMCHATT-1982-2006-SHEPHERD,Striped bass,Gulf of Maine / Cape Hatteras,20,,,,,,,,0.33,
NEFSC-SURFMATLC-1965-2008-JACOBSON,Atlantic surfclam,Mid-Atlantic Coast,22,900000,,,,,,,0.15,
NEFSC-TILEMATLC-1973-2008-NITSCHKE,Tilefish,Mid-Atlantic Coast,15,,,,,,,,,
NEFSC-WEAKFISHATLC-1981-2008-STANTON,Weakfish,Atlantic Coast,5,,10179,,,,,,,
NEFSC-WHAKEGBGOM-1963-2007-SOSEBEE,White hake,Gulf of Maine / Georges Bank,23,,56300,,,,,,0.19,
NEFSC-WINDOWGOMGB-1975-2007-HENDRICKSON,Windowpane,Gulf of Maine / Georges Bank,9,,,,,,,0.5,,
NEFSC-WINDOWSNEMATL-1975-2007-HENDRICKSON,Windowpane,Southern New England /Mid Atlantic,10,,,,,,,1.47,,
NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON,Winter Flounder,Georges Bank,17,,16000,,,,,,,
NEFSC-WINFLOUND5Y-1982-2008-NITSCHKE,Winter Flounder,Gulf of Maine,14,,,,,,,,,
