"","ASSESSID","X.1","X","LME_NAME","ADMB_BMSY","BRP_BMSY","BRP_SSBMSY","NUM_TOTAL","NUM_SSB","SCIENTIFICNAME","UMSY","FMSY","LME_NUMBER","LME_COUNT","final_analysis","upper_thresh","C_msy","collapse_brp_bmsy","collapse_brp_ssbmsy","collapse_cmsy","collapse_admb","TS_LENGTH","short_ID","BMSY"
"41","AFWG-POLLNEAR-1957-2006-MINTO",41,41,"Barents Sea",772332,NA,NA,47,47,"Pollachius virens",NA,NA,20,2,1,NA,188.339542583109,NA,NA,0,0,47,"AFWG37",FALSE
"42","ASMFC-ATLCROAKMATLC-1973-2002-STANTON",42,42,"Northeast U.S. Continental Shelf",NA,NA,56467,0,30,"Micropogonias undulatus",NA,0.407,7,1,1,NA,14.4090679381342,NA,0,0,NA,30,NA,NA
"43","ASMFC-LOBSTERGB-1981-2007-STANTON",43,43,"Northeast U.S. Continental Shelf",NA,NA,NA,0,26,"Homarus americanus",NA,NA,7,1,1,NA,1.83687531412142,NA,NA,0,NA,26,NA,NA
"44","ASMFC-LOBSTERGOM-1981-2007-STANTON",44,44,"Northeast U.S. Continental Shelf",NA,NA,NA,0,26,"Homarus americanus",NA,NA,7,1,1,NA,31.4252113723352,NA,NA,0,NA,26,NA,NA
"45","ASMFC-LOBSTERSNE-1981-2007-STANTON",45,45,"Northeast U.S. Continental Shelf",NA,NA,NA,0,26,"Homarus americanus",NA,NA,7,1,1,NA,5.31318609451905,NA,NA,0,NA,26,NA,NA
"46","ASMFC-PANDALGOM-1960-2009-IDOINE",46,46,"Northeast U.S. Continental Shelf",17796.4,NA,NA,25,0,"Pandalus borealis",NA,0.77,7,1,1,NA,4.22884950012771,NA,NA,0,0,25,"ASMFC38",FALSE
"47","CCAMLR-ATOOTHFISHRS-1995-2007-JENSEN",47,47,"Subantarctic High Seas",NA,18802.1604,NA,13,13,"Dissostichus mawsoni",NA,0.136,-96,1,1,NA,2.15793460218278,0,NA,0,NA,13,NA,NA
"48","CCSBT-SC-SBT-1931-2009-Parma",48,48,"Indian High Seas",589220,NA,277047.0811,79,79,"Thunnus maccoyii",NA,NA,-97,3,1,NA,35.1574487284651,NA,0,0,1,79,"CCSBT39",FALSE
"49","CSIRO-BIGHTREDSE-1958-2007-FULTON",49,49,"Southwest Australian Shelf",389763,NA,16240.128,50,50,"Centroberyx gerrardi",NA,NA,43,1,1,140719.8,0.668902878429822,NA,0,0,0,50,"CSIRO40",FALSE
"50","CSIRO-BTSHRIMPNAUST-1970-2006-FULTON",50,50,"North Australian Shelf",NA,NA,NA,0,37,"Penaeus esculentus",NA,NA,39,1,1,NA,1.4650899967929,NA,NA,0,NA,37,NA,NA
"51","CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",51,51,"Southwest Australian Shelf",7626.82,NA,3286.512,30,30,"Platycephalus conatus",NA,NA,43,1,1,NA,1.10443427789007,NA,0,0,0,30,"CSIRO41",FALSE
