"","ASSESSID","TSYEAR","SSB","TOTAL","CATCH_LANDINGS","units_total","units_ssb","units_catch"
"149","AFSC-ARFLOUNDGA-1958-2010-STANTON",1973,229018,474812,10007,"MT","MT","MT"
"150","AFSC-ARFLOUNDGA-1958-2010-STANTON",1974,225229,531954,4883,"MT","MT","MT"
"151","AFSC-ARFLOUNDGA-1958-2010-STANTON",1975,228639,621850,2776,"MT","MT","MT"
"152","AFSC-ARFLOUNDGA-1958-2010-STANTON",1976,240734,691205,3045,"MT","MT","MT"
"153","AFSC-ARFLOUNDGA-1958-2010-STANTON",1977,264331,767684,9449,"MT","MT","MT"
"154","AFSC-ARFLOUNDGA-1958-2010-STANTON",1978,297844,822858,8409,"MT","MT","MT"
"155","AFSC-ARFLOUNDGA-1958-2010-STANTON",1979,344913,869805,7579,"MT","MT","MT"
"156","AFSC-ARFLOUNDGA-1958-2010-STANTON",1980,397150,917026,7848,"MT","MT","MT"
"157","AFSC-ARFLOUNDGA-1958-2010-STANTON",1981,443824,983995,7433,"MT","MT","MT"
"158","AFSC-ARFLOUNDGA-1958-2010-STANTON",1982,483368,1055650,4639,"MT","MT","MT"
"159","AFSC-ARFLOUNDGA-1958-2010-STANTON",1983,517769,1099110,6331,"MT","MT","MT"
"160","AFSC-ARFLOUNDGA-1958-2010-STANTON",1984,549071,1135480,3457,"MT","MT","MT"
"161","AFSC-ARFLOUNDGA-1958-2010-STANTON",1985,585680,1192450,1539,"MT","MT","MT"
"162","AFSC-ARFLOUNDGA-1958-2010-STANTON",1986,629556,1261770,1221,"MT","MT","MT"
"163","AFSC-ARFLOUNDGA-1958-2010-STANTON",1987,671017,1350870,4963,"MT","MT","MT"
"164","AFSC-ARFLOUNDGA-1958-2010-STANTON",1988,693255,1422570,5138,"MT","MT","MT"
"165","AFSC-ARFLOUNDGA-1958-2010-STANTON",1989,715626,1485560,2584,"MT","MT","MT"
"166","AFSC-ARFLOUNDGA-1958-2010-STANTON",1990,746026,1550490,7706,"MT","MT","MT"
"167","AFSC-ARFLOUNDGA-1958-2010-STANTON",1991,783277,1588780,10034,"MT","MT","MT"
"168","AFSC-ARFLOUNDGA-1958-2010-STANTON",1992,825959,1611650,15970,"MT","MT","MT"
"169","AFSC-ARFLOUNDGA-1958-2010-STANTON",1993,864642,1633480,15559,"MT","MT","MT"
"170","AFSC-ARFLOUNDGA-1958-2010-STANTON",1994,895095,1636730,23560,"MT","MT","MT"
"171","AFSC-ARFLOUNDGA-1958-2010-STANTON",1995,906040,1614180,18428,"MT","MT","MT"
"172","AFSC-ARFLOUNDGA-1958-2010-STANTON",1996,913895,1592570,22583,"MT","MT","MT"
"173","AFSC-ARFLOUNDGA-1958-2010-STANTON",1997,915292,1575660,16319,"MT","MT","MT"
"174","AFSC-ARFLOUNDGA-1958-2010-STANTON",1998,916789,1586500,12975,"MT","MT","MT"
"175","AFSC-ARFLOUNDGA-1958-2010-STANTON",1999,915555,1628570,16207,"MT","MT","MT"
"176","AFSC-ARFLOUNDGA-1958-2010-STANTON",2000,903265,1712390,24252,"MT","MT","MT"
"177","AFSC-ARFLOUNDGA-1958-2010-STANTON",2001,884328,1835900,19964,"MT","MT","MT"
"178","AFSC-ARFLOUNDGA-1958-2010-STANTON",2002,880814,2022940,21231,"MT","MT","MT"
"179","AFSC-ARFLOUNDGA-1958-2010-STANTON",2003,893944,2153650,29994,"MT","MT","MT"
"180","AFSC-ARFLOUNDGA-1958-2010-STANTON",2004,928970,2202930,15304,"MT","MT","MT"
"181","AFSC-ARFLOUNDGA-1958-2010-STANTON",2005,1009480,2245770,19770,"MT","MT","MT"
"182","AFSC-ARFLOUNDGA-1958-2010-STANTON",2006,1111220,2258230,27653,"MT","MT","MT"
"183","AFSC-ARFLOUNDGA-1958-2010-STANTON",2007,1208120,2256030,25364,"MT","MT","MT"
"184","AFSC-ARFLOUNDGA-1958-2010-STANTON",2008,1275310,NA,27938,NA,"MT","MT"
"185","AFSC-ARFLOUNDGA-1958-2010-STANTON",2009,1295050,NA,NA,NA,"MT",NA
"186","AFSC-ARFLOUNDGA-1958-2010-STANTON",2010,1293640,NA,NA,NA,"MT",NA
"187","AFSC-ATKABSAI-1976-2009-STANTON",1976,NA,NA,NA,NA,NA,NA
"188","AFSC-ATKABSAI-1976-2009-STANTON",1977,75681,194180,21763,"MT","MT","MT"
"189","AFSC-ATKABSAI-1976-2009-STANTON",1978,77012,194628,24249,"MT","MT","MT"
"190","AFSC-ATKABSAI-1976-2009-STANTON",1979,84920,225771,23264,"MT","MT","MT"
"191","AFSC-ATKABSAI-1976-2009-STANTON",1980,101260,395114,20488,"MT","MT","MT"
"192","AFSC-ATKABSAI-1976-2009-STANTON",1981,147910,405797,19688,"MT","MT","MT"
"193","AFSC-ATKABSAI-1976-2009-STANTON",1982,155720,385512,19874,"MT","MT","MT"
"194","AFSC-ATKABSAI-1976-2009-STANTON",1983,144940,371230,11726,"MT","MT","MT"
"195","AFSC-ATKABSAI-1976-2009-STANTON",1984,125550,377658,36055,"MT","MT","MT"
"196","AFSC-ATKABSAI-1976-2009-STANTON",1985,100750,319991,37860,"MT","MT","MT"
"197","AFSC-ATKABSAI-1976-2009-STANTON",1986,85800,272392,31990,"MT","MT","MT"
"198","AFSC-ATKABSAI-1976-2009-STANTON",1987,86182,369594,30061,"MT","MT","MT"
"199","AFSC-ATKABSAI-1976-2009-STANTON",1988,94556,295189,22084,"MT","MT","MT"
"200","AFSC-ATKABSAI-1976-2009-STANTON",1989,107160,418278,17994,"MT","MT","MT"
"201","AFSC-ATKABSAI-1976-2009-STANTON",1990,126010,527198,22206,"MT","MT","MT"
"202","AFSC-ATKABSAI-1976-2009-STANTON",1991,146580,479865,26626,"MT","MT","MT"
"203","AFSC-ATKABSAI-1976-2009-STANTON",1992,190790,721683,48532,"MT","MT","MT"
"204","AFSC-ATKABSAI-1976-2009-STANTON",1993,194700,657479,66006,"MT","MT","MT"
"205","AFSC-ATKABSAI-1976-2009-STANTON",1994,170050,522903,65360,"MT","MT","MT"
"206","AFSC-ATKABSAI-1976-2009-STANTON",1995,149680,480063,81554,"MT","MT","MT"
"207","AFSC-ATKABSAI-1976-2009-STANTON",1996,136370,447624,103942,"MT","MT","MT"
"208","AFSC-ATKABSAI-1976-2009-STANTON",1997,115890,422929,65842,"MT","MT","MT"
"209","AFSC-ATKABSAI-1976-2009-STANTON",1998,105730,371894,57097,"MT","MT","MT"
"210","AFSC-ATKABSAI-1976-2009-STANTON",1999,112060,389934,56237,"MT","MT","MT"
"211","AFSC-ATKABSAI-1976-2009-STANTON",2000,98804,347964,47230,"MT","MT","MT"
"212","AFSC-ATKABSAI-1976-2009-STANTON",2001,90924,392400,61563,"MT","MT","MT"
"213","AFSC-ATKABSAI-1976-2009-STANTON",2002,114300,445874,45288,"MT","MT","MT"
"214","AFSC-ATKABSAI-1976-2009-STANTON",2003,162120,514019,54045,"MT","MT","MT"
"215","AFSC-ATKABSAI-1976-2009-STANTON",2004,190180,593355,60562,"MT","MT","MT"
"216","AFSC-ATKABSAI-1976-2009-STANTON",2005,196040,514571,62012,"MT","MT","MT"
"217","AFSC-ATKABSAI-1976-2009-STANTON",2006,165530,459303,61894,"MT","MT","MT"
"218","AFSC-ATKABSAI-1976-2009-STANTON",2007,146610,528053,58763,"MT","MT","MT"
"219","AFSC-ATKABSAI-1976-2009-STANTON",2008,146550,469013,58471,"MT","MT","MT"
"220","AFSC-ATKABSAI-1976-2009-STANTON",2009,132330,410589,NA,"MT","MT",NA
"250","AFSC-CABEZNCAL-1916-2005-STANTON",1945,1037.04,1843.39,14.77,"MT","MT","MT"
"251","AFSC-CABEZNCAL-1916-2005-STANTON",1946,1036.71,1842.93,16.36,"MT","MT","MT"
"252","AFSC-CABEZNCAL-1916-2005-STANTON",1947,1035.47,1841.11,64.27,"MT","MT","MT"
"253","AFSC-CABEZNCAL-1916-2005-STANTON",1948,1005.15,1794.8,87.06,"MT","MT","MT"
"254","AFSC-CABEZNCAL-1916-2005-STANTON",1949,962.888,1731.4,83.54,"MT","MT","MT"
"255","AFSC-CABEZNCAL-1916-2005-STANTON",1950,925.924,1677.72,97.14,"MT","MT","MT"
"256","AFSC-CABEZNCAL-1916-2005-STANTON",1951,884.461,1617.53,114.57,"MT","MT","MT"
"257","AFSC-CABEZNCAL-1916-2005-STANTON",1952,836.842,1547.95,69.68,"MT","MT","MT"
"258","AFSC-CABEZNCAL-1916-2005-STANTON",1953,820.785,1528.34,44.08,"MT","MT","MT"
"259","AFSC-CABEZNCAL-1916-2005-STANTON",1954,823.538,1536.65,31.15,"MT","MT","MT"
"260","AFSC-CABEZNCAL-1916-2005-STANTON",1955,835.949,1558.03,32.92,"MT","MT","MT"
"261","AFSC-CABEZNCAL-1916-2005-STANTON",1956,847.448,1577.15,70.78,"MT","MT","MT"
"262","AFSC-CABEZNCAL-1916-2005-STANTON",1957,835.829,1559.86,63.96,"MT","MT","MT"
"263","AFSC-CABEZNCAL-1916-2005-STANTON",1958,828.859,1550.22,49.26,"MT","MT","MT"
"264","AFSC-CABEZNCAL-1916-2005-STANTON",1959,831.406,1555.11,42.34,"MT","MT","MT"
"265","AFSC-CABEZNCAL-1916-2005-STANTON",1960,838.699,1565.83,31.59,"MT","MT","MT"
"266","AFSC-CABEZNCAL-1916-2005-STANTON",1961,851.618,1585.9,29.17,"MT","MT","MT"
"267","AFSC-CABEZNCAL-1916-2005-STANTON",1962,865.466,1606.3,44.28,"MT","MT","MT"
"268","AFSC-CABEZNCAL-1916-2005-STANTON",1963,869.174,1610.38,96.7,"MT","MT","MT"
"269","AFSC-CABEZNCAL-1916-2005-STANTON",1964,840.629,1564.45,49.31,"MT","MT","MT"
"270","AFSC-CABEZNCAL-1916-2005-STANTON",1965,840.667,1566.72,66.55,"MT","MT","MT"
"271","AFSC-CABEZNCAL-1916-2005-STANTON",1966,831.258,1553.51,83.63,"MT","MT","MT"
"272","AFSC-CABEZNCAL-1916-2005-STANTON",1967,812.673,1526.03,47.14,"MT","MT","MT"
"273","AFSC-CABEZNCAL-1916-2005-STANTON",1968,817.568,1535.18,44.07,"MT","MT","MT"
"274","AFSC-CABEZNCAL-1916-2005-STANTON",1969,824.904,1547.05,48.7,"MT","MT","MT"
"275","AFSC-CABEZNCAL-1916-2005-STANTON",1970,829.403,1553.87,63.95,"MT","MT","MT"
"276","AFSC-CABEZNCAL-1916-2005-STANTON",1971,824.379,1545.94,37.22,"MT","MT","MT"
"277","AFSC-CABEZNCAL-1916-2005-STANTON",1972,835.528,1563.32,80.48,"MT","MT","MT"
"278","AFSC-CABEZNCAL-1916-2005-STANTON",1973,820.092,1539.05,77.53,"MT","MT","MT"
"279","AFSC-CABEZNCAL-1916-2005-STANTON",1974,806.912,1519.33,73.44,"MT","MT","MT"
"280","AFSC-CABEZNCAL-1916-2005-STANTON",1975,797.128,1505.25,43.01,"MT","MT","MT"
