ASSESSID,AREAID,km2,lat,lon
NZMFishHOKIWG-HOKIENZ-1972-2007-FRANCIS,New Zealand-MFish-ENZ,45518619,-38.14,151.71
NZMFishHOKIWG-HOKIWNZ-1972-2007-FRANCIS,New Zealand-MFish-WNZ,812793,-44.09,169.45
NEFSC-ILLEXNWATLC-1967-2005-HENDRICKSON,USA-NMFS-NWATLC,3815571,48.47,-61.32
NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON,USA-NMFS-ORECOAST,74853,44.1,-124.41
MARAM-KINGKLIPSA-1932-2008-DEDECKER,South Africa-DETMCM-SA,3259438,-29.62,25.21
SEFSC-KMACKGM-1992-2001-JENSEN,USA-NMFS-GM,2496985,24.95,-91.62
SEFSC-KMACKSATLC-1981-2001-JENSEN,USA-NMFS-SATLC,392932,31.55,-79.34
PFMC-LINGCODNPCOAST-1956-2005-STANTON,USA-NMFS-NPCOAST,1206543,47.75,-125
PFMC-LINGCODSPCOAST-1956-2005-STANTON,USA-NMFS-SPCOAST,205759,33.75,-121
NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH,USA-NMFS-PCOAST,3246712,39.54,-120.48
ASMFC-LOBSTERGB-1981-2007-STANTON,USA-NMFS-5Z,185058,40.67,-68.69
ASMFC-LOBSTERGOM-1981-2007-STANTON,USA-NMFS-5Y,111362,43.78,-69.21
RIDEM-LOBSTERRI-1959-2007-COLLIE,USA-US State-RI,5518,41.66,-71.5
ASMFC-LOBSTERSNE-1981-2007-STANTON,USA-NMFS-SNE,82498,42.25,-71
NWFSC-LSTHORNHPCOAST-1962-2005-STANTON,USA-NMFS-PCOAST,3246712,39.54,-120.48
NEFSC-MACKGOMCHATT-1960-2005-OVERHOLTZ,USA-NMFS-5YCHATT,302113,39.12,-72.47
WGMHSA-MACKNEICES-1972-2007-JENNINGS,multinational-ICES-IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa,11045306,65.32,-12.56
WGHMM-MEG8c9a-1985-2007-JENNINGS,multinational-ICES-VIIIc-IXa,501146,40.69,-7.69
SEFSC-MENATGM-1964-2004-GILROY,USA-NMFS-GM,2496985,24.95,-91.62
NMFS-MENATLAN-1940-2005-STANTON,USA-NMFS-ATL,4001904,34.74,-65.83
NEFSC-MONKGOMNGB-1964-2006-RICHARDS,USA-NMFS-GOMNGB,111362,43.78,-69.21
NEFSC-MONKSGBMATL-1964-2006-RICHARDS,USA-NMFS-SGBMATL,317858,38.39,-67.71
CSIRO-MORWONGSE-1913-2007-FULTON,Australia-AFMA-SE,5430238,-34.03,147.02
SEFSC-MUTSNAPSATLCGM-1981-2006-JENSEN,USA-NMFS-SATLCGM,2894673,25.9,-89.85
WGNSSK-NPOUTNS-1983-2007-MINTO,multinational-ICES-IV,921642,56.58,2.88
AFSC-NROCKBSAI-1974-2009-STANTON,USA-NMFS-BSAI,805634758,57.65,-45.42
AFSC-NROCKGA-1959-2008-MELNYCHUK,USA-NMFS-GA,819151,57.98,-146.69
AFSC-NRSOLEEBSAI-1971-2008-STANTON,USA-NMFS-EBSAI,1539692,57.92,-167.54
CSIRO-NZLINGESE-1968-2007-FULTON,Australia-AFMA-SE,5430238,-34.03,147.02
NZMFishMIDDEPTHSWG-NZLINGLIN3-4-1972-2007-JENSEN,New Zealand-MFish-LIN3-4,275920239,-43.89,11.21
NZMFishMIDDEPTHSWG-NZLINGLIN5-6-1972-2007-JENSEN,New Zealand-MFish-LIN5-6,28354047681,-49.9,113.86
NZMFishMIDDEPTHSWG-NZLINGLIN6b-1980-2006-JENSEN,New Zealand-MFish-LIN6b,815277624,-49.07,-5.69
NZMFishMIDDEPTHSWG-NZLINGLIN72-1972-2007-JENSEN,New Zealand-MFish-LIN72,45764801564,-40.11,71.68
NZMFishMIDDEPTHSWG-NZLINGLIN7WC-1972-2008-JENSEN,New Zealand-MFish-LIN7WC-WCSI,203793,-42.51,167.45
CSIRO-NZLINGWSE-1968-2007-FULTON,Australia-AFMA-WSE,1232722,-36.88,138.69
NZMFishINSHOREWG-NZSNAPNZ8-1931-2005-JENSEN,New Zealand-MFish-8,67280,-39.17,173.3
CSIRO-OROUGHYCASCADE-1987-2006-FULTON,Australia-AFMA-CASCADE,271,-43.92,150.46
NIWA-OROUGHYNZMEC-1981-2004-JENSEN,New Zealand-MFish-NZMEC,44232957484,-40.89,-14.94
CSIRO-OROUGHYSE-1978-2007-FULTON,Australia-AFMA-SE,5430238,-34.03,147.02
IMARPE-PANCHPERUNC-1963-2004-RICARD,Peru-IMARPE-NC,2592119,-6.11,-79.14
ASMFC-PANDALGOM-1960-2009-IDOINE,USA-NMFS-5Y,111362,43.78,-69.21
INIDEP-PATGRENADIERSARG-1983-2006-Parma,Argentina-CFP-ARG-S,2924714,-50,-59.28
NZMFishSHELLFISHWG-PAUAPAU5A-1964-2006-JENSEN,New Zealand-MFish-PAU5A,54984,-45.68,166.37
NZMFishSHELLFISHWG-PAUAPAU5B-1963-2007-JENSEN,New Zealand-MFish-PAU5B,59787,-47.11,167.39
NZMFishSHELLFISHWG-PAUAPAU5D-1964-2006-JENSEN,New Zealand-MFish-PAU5D,31421,-45.99,171.2
NZMFishSHELLFISHWG-PAUAPAU7-1964-2008-JENSEN,New Zealand-MFish-PAU7,24269,-41.62,173.67
AFSC-PCODBSAI-1964-2008-MELNYCHUK,USA-NMFS-BSAI,805634758,57.65,-45.42
AFSC-PCODGA-1964-2008-MELNYCHUK,USA-NMFS-GA,819151,57.98,-146.69
DFO-PAC-PCODHS-1956-2005-COLLIE,Canada-DFO-HS,39969,53.12,-130.83
DFO-PAC-PCODWCVANI-1956-2002-COLLIE,Canada-DFO-WCVANI,78771,49.64,-126.69
AFSC-PERCHEBSAI-1974-2009-STANTON,USA-NMFS-EBSAI,1539692,57.92,-167.54
NWFSC-PHAKEPCOAST-1966-2008-BRANCH,USA-NMFS-PCOAST,3246712,39.54,-120.48
IPHC-PHALNPAC-1988-2009-Parma,multinational-IPHC-NPAC,3664874159,43,-12.5
WGNSSK-PLAIC7d-1979-2006-MINTO,multinational-ICES-VIId,74116,50.34,-0.25
WGSSDS-PLAICCELT-1976-2006-JENNINGS,multinational-ICES-VIIf-g,85513,51.1,-6.16
WGSSDS-PLAICECHW-1975-2006-JENNINGS,multinational-ICES-VIIe,94165,49.58,-3.36
WGNSSK-PLAICIIIa-1976-2006-MINTO,multinational-ICES-IIIa,141326,58.49,10.31
WGNSDS-PLAICIS-1962-2006-MINTO,multinational-ICES-VIIa,134226,53.46,-4.98
WGNSSK-PLAICNS-1956-2006-MINTO,multinational-ICES-IV,921642,56.58,2.88
DFO-POLL4X5YZ-1980-2006-PREFONTAINE,Canada-DFO-4X5YZ,511800,42.41,-67.3
NEFSC-POLL5YZ-1963-2007-MAYO,USA-NMFS-5YZ,296009,41.87,-68.89
NWWG-POLLFAPL-1958-2006-MINTO,multinational-ICES-Vb1,173007,61.61,-9.66
AFWG-POLLNEAR-1957-2006-MINTO,multinational-ICES-I-II,5629995,76.92,26.36
