"ASSESSID","COMMON","Scientific_name","MGMT","AREA","LME_NAME","LME_NUMBER","NUM_LMEs","BRP_BMSY","BRP_SSBMSY","metric_TOTAL","metric_SSB","firstYR_TOTAL","firstYR_SSB","mean_ut","median_ut","q90_ut","mean_umsy","median_umsy","q90umsy"
"AFSC-FLSOLEGA-1978-2010-Stachura","Flathead sole","Solea vulgaris","NMFS","Gulf of Alaska","Gulf of Alaska",2,1,NA,43661,"MT","MT",1984,1984,0.00628470170476612,0.00702771771181443,0.0096862790243373,NA,NA,NA
"AFSC-GHALBSAI-1960-2009-STANTON","Greenland halibut","Reinhardtius hippoglossoides","NMFS","Bering Sea and Aleutian Islands","East Bering Sea",1,1,NA,38265,"MT","MT",1960,1960,0.0470152051638475,0.0408420517394257,0.0916304870668774,NA,NA,NA
"AFSC-GKINGCRABAIES-1990-2007-JENSEN","Golden king crab","Lithodes aequispinus","NMFS","Aleutian Islands Eastern segment","East Bering Sea",1,1,NA,38018,"no value","MT",NA,1990,NA,NA,NA,NA,NA,NA
"AFSC-GKINGCRABAIWS-1989-2007-JENSEN","Golden king crab","Lithodes aequispinus","NMFS","Aleutian Islands Western segment","East Bering Sea",1,1,NA,42848,"no value","MT",NA,1989,NA,NA,NA,NA,NA,NA
"AFSC-NROCKBSAI-1974-2009-STANTON","Northern rockfish","Sebastes polyspinis","NMFS","Bering Sea and Aleutian Islands","East Bering Sea",1,1,NA,48399,"MT","MT",1977,1977,0.0154473524721586,0.015654504673656,0.0314793003643453,NA,NA,NA
"AFSC-NROCKGA-1959-2008-MELNYCHUK","Northern rockfish","Sebastes polyspinis","NMFS","Gulf of Alaska","Gulf of Alaska",2,1,NA,19500,"MT","MT",1961,1961,0.0324983265395001,0.0308769040757513,0.0516039170178933,NA,NA,NA
"AFSC-NRSOLEEBSAI-1971-2008-STANTON","Northern rock sole","Solea vulgaris","NMFS","Eastern Bering Sea and Aleutian Islands","East Bering Sea",1,1,NA,173320,"MT","MT",1975,1975,0.034793898073661,0.0310125861441655,0.0505032427468226,NA,NA,NA
"AFSC-PCODBSAI-1964-2008-MELNYCHUK","Pacific cod","Gadus macrocephalus","NMFS","Bering Sea and Aleutian Islands","East Bering Sea",1,1,NA,373000,"MT","MT",1977,1977,0.0997830908169269,0.11428167959488,0.14899115165767,NA,NA,NA
"AFSC-PCODGA-1964-2008-MELNYCHUK","Pacific cod","Gadus macrocephalus","NMFS","Gulf of Alaska","Gulf of Alaska",2,1,NA,89400,"MT","MT",1977,1977,0.150609879957639,0.16578229096352,0.221478054068977,NA,NA,NA
"AFSC-PERCHEBSAI-1974-2009-STANTON","Pacific Ocean perch","Sebastes alutus","NMFS","Eastern Bering Sea and Aleutian Islands","East Bering Sea",1,1,NA,107627,"MT","MT",1977,1977,0.0344622549533163,0.0305432108542001,0.0591214229374838,NA,NA,NA
