"","ASSESSID","X.1","X","LME_NAME","SCIENTIFICNAME","COMMON","AREA","LME_NUMBER","LME_COUNT","BIOMASS_TS_LENGTH","LANDINGS_TS_LENGTH","B_msy","B_msy..n...2","short_ID","BMSY","lnk","maxB","hit"
"183","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",183,183,"California Current","Reinhardtius stomias","Arrowtooth flounder","Pacific Coast",3,2,92,92,48858.4,48858.4,"NWFSC141",48858.4,11.4898,98022.2,1
"184","NWFSC-BGROCKPCOAST-1950-2005-STANTON",184,184,"California Current","Sebastes melanostomus","Blackgill rockfish","Pacific Coast",3,1,56,27,16385.6,16385.6,"NWFSC142",16385.6,10.3973,19975,1
"185","NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH",185,185,"California Current","Sebastes melanops","Black rockfish","Northern Pacific Coast",3,1,92,92,6591.31,6591.31,"NWFSC143",6591.31,9.48665,13226,1
"186","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH",186,186,"California Current","Sebastes melanops","Black rockfish","Southern Pacific Coast",3,1,93,92,14544.9,14544.9,"NWFSC144",14544.9,10.2781,29344,1
"187","NWFSC-BLUEROCKCAL-1916-2007-BRANCH",187,187,"California Current","Sebastes mystinus","Blue rockfish","California",3,1,92,92,6681.9,6681.9,"NWFSC145",6681.9,9.50031,13223,1
"188","NWFSC-BOCACCSPCOAST-1951-2006-BRANCH",188,188,"California Current","Sebastes paucispinis","Bocaccio","Southern Pacific Coast",3,1,56,56,33390.9,33390.9,"NWFSC146",33390.9,11.1092,47280,1
"189","NWFSC-CHILISPCOAST-1892-2007-BRANCH",189,189,"California Current","Sebastes goodei","Chilipepper","Southern Pacific Coast",3,1,116,115,22913.7,22913.7,"NWFSC147",22913.7,10.7326,47214,1
"190","NWFSC-COWCODSCAL-1900-2007-BRANCH",190,190,"California Current","Sebastes levis","Cowcod","Southern California",3,1,108,108,2537.55,2537.55,"NWFSC148",2537.55,8.5321,5293.1,1
"191","NWFSC-CROCKPCOAST-1916-2009-Stachura",191,191,"California Current","Sebastes pinniger","Canary rockfish","Pacific Coast",3,1,94,93,34258.4,34258.4,"NWFSC149",34258.4,11.1348,69785,1
"192","NWFSC-DKROCKPCOAST-1928-2007-BRANCH",192,192,"California Current","Sebastes crameri","Darkblotched rockfish","Pacific Coast",3,1,80,79,17023.4,17023.4,"NWFSC150",17023.4,10.4355,34527,1
"193","NWFSC-ESOLEPCOAST-1876-2007-BRANCH",193,193,"California Current","Parophrys vetulus","English sole","Pacific Coast",3,1,132,131,34901.5,34901.5,"NWFSC151",34901.5,11.1534,72795,1
"194","NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON",194,194,"California Current","Hexagrammos decagrammus","Kelp greenling","Oregon Coast",3,1,27,25,750.658,750.658,"NWFSC152",750.658,7.3141,1608.43,1
"195","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH",195,195,"California Current","Raja rhina","Longnose skate","Pacific Coast",3,1,93,93,45714.6,45714.6,"NWFSC153",45714.6,11.4233,90955.2,1
"196","NWFSC-LSTHORNHPCOAST-1962-2005-STANTON",196,196,"California Current","Sebastolobus altivelis","Longspine thornyhead","Pacific Coast",3,1,42,41,114779,114779,"NWFSC154",114779,12.3439,228275,1
"197","NWFSC-PHAKEPCOAST-1966-2008-BRANCH",197,197,"California Current","Merluccius productus","Pacific hake","Pacific Coast",3,2,43,42,4860850,4860850,"NWFSC155",4860850,16.0899,15063000,1
"198","NWFSC-POPERCHPCOAST-1953-2007-BRANCH",198,198,"California Current","Sebastes alutus","Pacific ocean perch","Pacific Coast",3,1,52,51,4.64e+16,4.64e+16,"NWFSC156",4.63738e+16,39.0687,86898.1,1
"199","NWFSC-PSOLENPCOAST-1910-2005-STANTON",199,199,"California Current","Eopsetta jordani","Petrale sole","Northern Pacific Coast",3,1,96,95,12444,12444,"NWFSC157",12444,10.1221,25165,1
"200","NWFSC-PSOLESPCOAST-1874-2005-STANTON",200,200,"California Current","Eopsetta jordani","Petrale sole","Southern Pacific Coast",3,1,132,129,14116.6,14116.6,"NWFSC158",14116.6,10.2483,28920,1
"201","NWFSC-SABLEFPCOAST-1900-2007-BRANCH",201,201,"California Current","Anoplopoma fimbria","Sablefish","Pacific Coast",3,1,108,108,231832,231832,"NWFSC159",231832,13.0469,464403,1
"202","NWFSC-SSTHORNHPCOAST-1901-2005-STANTON",202,202,"California Current","Sebastolobus alascanus","Shortspine thornyhead","Pacific Coast",3,1,105,43,93268.1,93268.1,"NWFSC160",93268.1,12.1364,222557,1
"203","NWFSC-WROCKPCOAST-1955-2006-BRANCH",203,203,"California Current","Sebastes entomelas","Widow rockfish","Pacific Coast",3,1,49,49,131549,131549,"NWFSC161",131549,12.4803,270818,1
"204","NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH",204,204,"California Current","Sebastes ruberrimus","Yelloweye rockfish","Pacific Coast",3,1,84,84,3444.44,3444.44,"NWFSC162",3444.44,8.83766,7082.2,1
"205","NWFSC-YTROCKNPCOAST-1967-2005-STANTON",205,205,"California Current","Sebastes flavidus","Yellowtail rockfish","Northern Pacific Coast",3,1,39,39,99442.1,99442.1,"NWFSC163",99442.1,12.2005,106243,1
"206","NWWG-CAPEICE-1977-2007-MINTO",206,206,"Iceland Shelf","Mallotus villosus","Capelin","Iceland Grounds",59,1,29,30,2423830,2423830,"NWWG164",2423830,15.394,3106000,1
