"","ASSESSID","X.1","X","LME_NAME","SCIENTIFICNAME","COMMON","AREA","LME_NUMBER","LME_COUNT","BIOMASS_TS_LENGTH","LANDINGS_TS_LENGTH","B_msy","B_msy..n...2","short_ID","BMSY","lnk","maxB","hit"
"65","CSIRO-WAREHOUWSE-1984-2006-FULTON",65,65,"Southwest Australian Shelf","Seriolella brama","Blue Warehou","Western half of Southeast Australia",43,1,23,23,2103.89,2103.89,"CSIRO53",2103.89,8.34469,5876.7,1
"66","DFO-COD5Zjm-1978-2003-PREFONTAINE",66,66,"Northeast U.S. Continental Shelf","Gadus morhua","Atlantic cod","Georges Bank",7,1,26,25,3.19e+15,3.19e+15,"DFO54",3.19294e+15,36.3929,49102,1
"67","DFO-HAD5Zejm-1968-2003-PREFONTAINE",67,67,"Northeast U.S. Continental Shelf","Melanogrammus aeglefinus","Haddock","Georges Bank",7,1,35,34,403759,403759,"DFO55",403759,13.6017,61779,1
"68","DFO-HERR4VWX-1964-2006-PREFONTAINE",68,68,"Scotian Shelf","Clupea harengus","Herring","Scotian Shelf and Bay of Fundy",8,1,42,0,NA,NA,NA,NA,NA,NA,NA
"69","DFO-MAR-COD4VsW-1958-2002-PREFONTAINE",69,69,"Scotian Shelf","Gadus morhua","Atlantic cod","Eastern Scotian Shelf",8,1,0,45,NA,NA,NA,NA,NA,NA,NA
"70","DFO-MAR-CUSK4X-1970-2007-RICARD",70,70,"Northeast U.S. Continental Shelf","Brosme brosme","Cusk","Western Scotian Shelf",7,1,38,0,NA,NA,NA,NA,NA,NA,NA
"71","DFO-MAR-HAD4X5Y-1960-2003-PREFONTAINE",71,71,"Northeast U.S. Continental Shelf","Melanogrammus aeglefinus","Haddock","Western Scotian Shelf, Bay of Fundy and Gulf of Maine",7,2,34,44,277564,277564,"DFO56",277564,13.227,90408,1
"72","DFO-NFLD-COD2J3KL-1850-2005-RICARD",72,72,"Newfoundland-Labrador Shelf","Gadus morhua","Atlantic cod","Southern Labrador-Eastern Newfoundland",9,1,0,156,NA,NA,NA,NA,NA,NA,NA
"73","DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE",73,73,"Newfoundland-Labrador Shelf","Gadus morhua","Atlantic cod","Southern Labrador-Eastern Newfoundland",9,1,12,44,NA,NA,NA,NA,NA,NA,NA
"74","DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE",74,74,"Newfoundland-Labrador Shelf","Gadus morhua","Atlantic cod","St. Pierre Bank",9,1,28,46,230674,230674,"DFO57",230674,13.0419,202478,1
"75","DFO-PAC-ESOLEHS-1944-2001-COLLIE",75,75,"Gulf of Alaska","Parophrys vetulus","English sole","Hecate Strait",2,1,58,58,2757.69,2757.69,"DFO58",2757.69,8.6153,5514,1
"76","DFO-PAC-HERRCC-1951-2007-COLLIE",76,76,"Gulf of Alaska","Clupea pallasii","Pacific herring","Central Coast",2,1,57,57,37276,37276,"DFO59",37276,11.2193,82818.1,1
"77","DFO-PAC-HERRPRD-1951-2007-COLLIE",77,77,"Gulf of Alaska","Clupea pallasii","Pacific herring","Prince Rupert District",2,1,57,57,5.89e+15,5.89e+15,"DFO60",5.89247e+15,37.0056,108763,1
"78","DFO-PAC-HERRQCI-1951-2007-COLLIE",78,78,"Gulf of Alaska","Clupea pallasii","Pacific herring","Queen Charlotte Islands",2,1,57,57,44812.6,44812.6,"DFO61",44812.6,11.4034,87437.1,1
"79","DFO-PAC-HERRSOG-1951-2007-COLLIE",79,79,"Gulf of Alaska","Clupea pallasii","Pacific herring","Straight of Georgia",2,1,57,57,82875.5,82875.5,"DFO62",82875.5,12.0182,149010,1
"80","DFO-PAC-HERRWCVANI-1951-2007-COLLIE",80,80,"Gulf of Alaska","Clupea pallasii","Pacific herring","West Coast of Vancouver Island",2,1,57,57,63187.1,63187.1,"DFO63",63187.1,11.747,147104,1
"81","DFO-PAC-PCODHS-1956-2005-COLLIE",81,81,"Gulf of Alaska","Gadus macrocephalus","Pacific cod","Hecate Strait",2,1,50,49,26222.6,26222.6,"DFO64",26222.6,10.8675,53470,1
"82","DFO-PAC-PCODWCVANI-1956-2002-COLLIE",82,82,"Gulf of Alaska","Gadus macrocephalus","Pacific cod","West Coast of Vancouver Island",2,1,47,46,15979.4,15979.4,"DFO65",15979.4,10.3722,20426,1
"83","DFO-PAC-RSOLEHSTR-1945-2001-COLLIE",83,83,"Gulf of Alaska","Lepidopsetta bilineata","Rock sole","Hecate Strait",2,1,57,57,4726.97,4726.97,"DFO66",4726.97,9.15419,8275,1
"84","DFO-PAC-SABLEFPCAN-1913-2004-STANTON",84,84,"Gulf of Alaska","Anoplopoma fimbria","Sablefish","Pacific Coast of Canada",2,1,0,92,NA,NA,NA,NA,NA,NA,NA
"85","DFO-POLL4X5YZ-1980-2006-PREFONTAINE",85,85,"Northeast U.S. Continental Shelf","Pollachius virens","Pollock","Western Scotian Shelf, Bay of Fundy, Gulf of Maine and Georges Bank",7,2,25,25,61342.3,61342.3,"DFO67",61342.3,11.7174,76792,1
"86","DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE",86,86,"Newfoundland-Labrador Shelf","Gadus morhua","Atlantic cod","Northern Gulf of St. Lawrence",9,1,34,43,1572080,1572080,"DFO68",1572080,14.9611,602678,1
"87","DFO-QUE-HERR4RFA-1971-2003-PREFONTAINE",87,87,"Newfoundland-Labrador Shelf","Clupea harengus","Herring","NAFO division 4R",9,1,0,30,NA,NA,NA,NA,NA,NA,NA
"88","DFO-QUE-HERR4RSP-1963-2004-PREFONTAINE",88,88,"Newfoundland-Labrador Shelf","Clupea harengus","Herring","NAFO division 4R",9,1,40,39,122669,122669,"DFO69",122669,12.4104,234686,1
"89","DFO-SG-COD4TVn-1965-2009-RICARD",89,89,"Scotian Shelf","Gadus morhua","Atlantic cod","Southern Gulf of St. Lawrence",8,1,39,44,531036,531036,"DFO70",531036,13.8757,510714,1
"90","DFO-SG-HERR4TFA-1974-2007-PREFONTAINE",90,90,"Scotian Shelf","Clupea harengus","Herring","Southern Gulf of St. Lawrence",8,1,30,29,306273,306273,"DFO71",306273,13.3254,416422,1
"91","DFO-SG-HERR4TSP-1974-2007-PREFONTAINE",91,91,"Scotian Shelf","Clupea harengus","Herring","Southern Gulf of St. Lawrence",8,1,30,29,155000,155000,"DFO72",155000,12.6443,125698,1
"92","HAWG-HERR2224IIIa-1991-2006-MINTO",92,92,"North Sea","Clupea harengus","Herring","22-24-IIIa",22,2,16,16,NA,NA,NA,NA,NA,NA,NA
"93","HAWG-HERRNIRS-1960-2006-JENNINGS",93,93,"Celtic-Biscay Shelf","Clupea harengus","Herring","Irish Sea",24,1,46,46,96896.8,96896.8,"HAWG73",96896.8,12.1745,116486,1
"94","HAWG-HERRNS-1960-2007-MINTO",94,94,"North Sea","Clupea harengus","Herring","North Sea",22,1,47,47,3514600,3514600,"HAWG74",3514600,15.7656,4792820,1
"95","HAWG-HERRVIa-1957-2006-MINTO",95,95,"Celtic-Biscay Shelf","Clupea harengus","Herring","West of Scotland",24,1,49,49,618720,618720,"HAWG75",618720,14.0286,1522520,1
"96","HAWG-HERRVIaVIIbc-1969-2000-MINTO",96,96,"Celtic-Biscay Shelf","Clupea harengus","Herring","VIa, VIIb and VIIc",24,1,31,31,212720,212720,"HAWG76",212720,12.9609,578250,1
"97","HAWG-SPRATNS-1995-2007-MINTO",97,97,"North Sea","Sprattus sprattus","Sprat","North Sea",22,1,12,0,NA,NA,NA,NA,NA,NA,NA
"98","IATTC-BIGEYEEPAC-1975-2007-JENSEN",98,98,"Pacific High Seas","Thunnus obesus","Bigeye tuna","Eastern Pacific",-99,1,33,0,NA,NA,NA,NA,NA,NA,NA
"99","IATTC-YFINEPAC-1975-2007-JENSEN",99,99,"Pacific High Seas","Thunnus albacares","Yellowfin tuna","Northeast Pacific",-99,1,33,0,NA,NA,NA,NA,NA,NA,NA
"100","ICCAT-ALBANATL-1929-2005-WORM",100,100,"Atlantic High Seas","Thunnus alalunga","Albacore tuna","Northern Atlantic",-98,1,76,76,156416,156416,"ICCAT77",156416,12.6534,312140,1
"101","ICCAT-ATBTUNAEATL-1969-2007-WORM",101,101,"Atlantic High Seas","Thunnus thynnus","Atlantic bluefin tuna","Eastern Atlantic",-98,2,38,38,217916,217916,"ICCAT78",217916,12.985,374650,1
"102","ICCAT-ATBTUNAWATL-1969-2007-WORM",102,102,"Atlantic High Seas","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic",-98,1,0,38,NA,NA,NA,NA,NA,NA,NA
"103","ICCAT-BIGEYEATL-1950-2005-JENSEN",103,103,"Atlantic High Seas","Thunnus obesus","Bigeye tuna","Atlantic",-98,1,56,56,450663,450663,"ICCAT79",450663,13.7116,903300,1
"104","ICCAT-SKJEATL-1950-2006-JENSEN",104,104,"Atlantic High Seas","Katsuwonus pelamis","Skipjack tuna","Eastern Atlantic",-98,1,57,57,383658,383658,"ICCAT80",383658,13.5507,768027,1
"105","ICCAT-SKJWATL-1952-2006-JENSEN",105,105,"Atlantic High Seas","Katsuwonus pelamis","Skipjack tuna","Western Atlantic",-98,1,55,55,97261.2,97261.2,"ICCAT81",97261.2,12.1783,194192,1
"106","ICCAT-SWORDMED-1968-2006-JENSEN",106,106,"Mediterranean Sea","Xiphias gladius","Swordfish","Mediterranean Sea",26,1,39,38,117281,117281,"ICCAT82",117281,12.3655,202000,1
"107","ICCAT-SWORDNATL-1978-2007-JENSEN",107,107,"Atlantic High Seas","Xiphias gladius","Swordfish","Northern Atlantic",-98,1,28,25,45692.1,45692.1,"ICCAT83",45692.1,11.4228,52957.6,1
"108","ICCAT-SWORDSATL-1970-2005-JENSEN",108,108,"Atlantic High Seas","Xiphias gladius","Swordfish","South Atlantic",-98,1,36,36,61520.2,61520.2,"ICCAT84",61520.2,11.7203,118200,1
"109","ICCAT-YFINATL-1970-2006-JENSEN",109,109,"Atlantic High Seas","Thunnus albacares","Yellowfin tuna","Atlantic",-98,1,37,37,448174,448174,"ICCAT85",448174,13.7061,684850,1
"110","IMARM-SFMAKONWPAC-1990-2003-FAUCONNET",110,110,"Pacific High Seas","Isurus oxyrinchus","Shortfin mako","Nothwest Pacific Ocean",-99,3,0,14,NA,NA,NA,NA,NA,NA,NA
"111","IMARPE-PANCHPERUNC-1963-2004-RICARD",111,111,"Humboldt Current","Engraulis ringens","Peruvian anchoveta","North-Central Peruvian coast",13,1,0,0,NA,NA,NA,NA,NA,NA,NA
"112","INIDEP-ARGANCHONARG-1989-2007-Parma",112,112,"Patagonian Shelf","Engraulis anchoita","Argentine anchoita","Northern Argentina",14,1,18,18,NA,NA,NA,NA,NA,NA,NA
"113","INIDEP-ARGANCHOSARG-1992-2007-Parma",113,113,"Patagonian Shelf","Engraulis anchoita","Argentine anchoita","Southern Argentina",14,1,15,15,NA,NA,NA,NA,NA,NA,NA
"114","INIDEP-ARGHAKENARG-1985-2007-Parma",114,114,"Patagonian Shelf","Merluccius hubbsi","Argentine hake","Northern Argentina",14,1,22,22,332235,332235,"INIDEP86",332235,13.4067,571523,1
"115","INIDEP-ARGHAKESARG-1985-2008-Parma",115,115,"Patagonian Shelf","Merluccius hubbsi","Argentine hake","Southern Argentina",14,1,23,23,724287,724287,"INIDEP87",724287,14.1861,1385780,1
"116","INIDEP-PATGRENADIERSARG-1983-2006-Parma",116,116,"Patagonian Shelf","Macruronus magellanicus","Patagonian grenadier","Southern Argentina",14,1,22,22,2201140,2201140,"INIDEP88",2201140,15.2976,1664570,1
"117","INIDEP-SBWHITARGS-1985-2007-Parma",117,117,"Patagonian Shelf","Micromesistius australis","Southern blue whiting","Southern Argentina",14,1,21,21,7.93e+17,7.93e+17,"INIDEP89",7.92964e+17,41.9077,1478240,1
"118","IOTC-BIGEYEIO-1957-2006-JENSEN",118,118,"Indian High Seas","Thunnus obesus","Bigeye tuna","Indian Ocean",-97,1,0,50,NA,NA,NA,NA,NA,NA,NA
"119","IPHC-PHALNPAC-1988-2009-Parma",119,119,"Gulf of Alaska","Hippoglossus stenolepis","Pacific halibut","North Pacific",2,2,14,13,NA,NA,NA,NA,NA,NA,NA
"120","MARAM-ANCHOSA-1984-2006-deMoor",120,120,"Benguela Current","Engraulis encrasicolus","Anchovy","South Africa",29,2,23,23,1831850,1831850,"MARAM90",1831850,15.114,4433420,1
"121","MARAM-CHAKESA-1917-2008-DEDECKER",121,121,"Benguela Current","Merluccius capensis","Shallow-water cape hake","South Africa",29,2,92,92,432732,432732,"MARAM91",432732,13.671,871444,1
"122","MARAM-CRLOBSTERSA12-1910-2008-Johnston",122,122,"Benguela Current","Jasus lalandii","South African west coast rock lobster","South Africa Areas 1-2",29,1,99,98,77275.2,77275.2,"MARAM92",77275.2,11.9483,118383,1
"123","MARAM-CRLOBSTERSA34-1910-2008-Johnston",123,123,"Benguela Current","Jasus lalandii","South African west coast rock lobster","South Africa Areas 3-4",29,1,99,98,12271000,12271000,"MARAM93",12271000,17.0159,151997,1
"124","MARAM-CRLOBSTERSA56-1910-2008-Johnston",124,124,"Benguela Current","Jasus lalandii","South African west coast rock lobster","South Africa Areas 5-6",29,1,99,98,3.54e+16,3.54e+16,"MARAM94",3.53971e+16,38.7986,149420,1
"125","MARAM-CRLOBSTERSA7-1910-2008-Johnston",125,125,"Benguela Current","Jasus lalandii","South African west coast rock lobster","South Africa Area 7",29,1,99,98,1.32e-07,1.32e-07,"MARAM95",1.31723e-07,-15.1494,217413,1
"126","MARAM-CRLOBSTERSA8-1910-2008-Johnston",126,126,"Benguela Current","Jasus lalandii","South African west coast rock lobster","South Africa Area 8",29,1,99,98,1.43e-07,1.43e-07,"MARAM96",1.43432e-07,-15.0643,160088,1
"127","MARAM-CTRACSA-1950-2007-Johnston",127,127,"Agulhas Current","Trachurus capensis","Cape horse mackerel","South Africa South coast",30,1,58,58,472492,472492,"MARAM97",472492,13.7589,1045060,1
"128","MARAM-DEEPCHAKESA-1917-2008-DEDECKER",128,128,"Benguela Current","Merluccius paradoxus","Deep-water cape hake","South Africa",29,2,92,92,890680,890680,"MARAM98",890680,14.3929,1820630,1
"129","MARAM-KINGKLIPSA-1932-2008-DEDECKER",129,129,"Benguela Current","Genypterus capensis","Kingklip","South Africa",29,2,77,77,79489.4,79489.4,"MARAM99",79489.4,11.9765,164889,1
"130","MARAM-PTOOTHFISHPEI-1960-2008-DEDECKER",130,130,"Subantarctic High Seas","Dissostichus eleginoides","Patagonian toothfish","South Africa Subantarctic Prince Edward Islands",-96,1,49,48,6.08e+15,6.08e+15,"MARAM100",6.08098e+15,37.0371,46337.7,1
"131","MARAM-SAABALONESA-1951-2008-PLAGANYI",131,131,"Benguela Current","Haliotis midae","South African abalone","South Africa",29,1,58,58,25133.4,25133.4,"MARAM101",25133.4,10.8251,35949.1,1
"132","MARAM-SARDSA-1984-2006-deMoor",132,132,"Benguela Current","Sardinops sagax","Sardine","South Africa",29,2,23,23,1860220,1860220,"MARAM102",1860220,15.1294,5458520,1
"133","MARAM-SSLOBSTERSASC-1973-2008-Johnston",133,133,"Agulhas Current","Palinurus gilchristi","Southern spiny lobster","South Africa South coast",30,1,36,36,904.625,904.625,"MARAM103",904.625,7.50067,1712.58,1
"134","NAFO-SC-AMPL3LNO-1955-2007-BAUM",134,134,"Newfoundland-Labrador Shelf","Hippoglossoides platessoides","American Plaice","Grand Banks",9,1,48,47,1807630,1807630,"NAFO104",1807630,15.1007,562562,1
"135","NAFO-SC-AMPL3M-1960-2007-BAUM",135,135,"Newfoundland-Labrador Shelf","Hippoglossoides platessoides","American Plaice","Flemish Cap",9,1,20,48,1.03e+15,1.03e+15,"NAFO105",1.02825e+15,35.2598,14366,1
"136","NAFO-SC-COD3M-1959-2008-BAUM",136,136,"Newfoundland-Labrador Shelf","Gadus morhua","Atlantic cod","Flemish Cap",9,1,21,49,31909.7,31909.7,"NAFO106",31909.7,11.0638,196748,1
"137","NAFO-SC-COD3NO-1953-2007-BAUM",137,137,"Newfoundland-Labrador Shelf","Gadus morhua","Atlantic cod","Southern Grand Banks",9,1,49,54,2.05e+17,2.05e+17,"NAFO107",2.04672e+17,40.5533,395437,1
"138","NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE",138,138,"Newfoundland-Labrador Shelf","Reinhardtius hippoglossoides","Greenland halibut","Labrador Shelf - Grand Banks",9,1,32,47,194547,194547,"NAFO108",194547,12.8716,224362,1
"139","NAFO-SC-REDFISHSPP3LN-1959-2008-BAUM",139,139,"Newfoundland-Labrador Shelf","Sebastes spp","Redfish species","N and SW Grand Banks",9,1,50,49,140267,140267,"NAFO109",140267,12.5444,262400,1
"140","NAFO-SC-REDFISHSPP3M-1985-2006-PREFONTAINE",140,140,"Newfoundland-Labrador Shelf","Sebastes spp","Redfish species","Flemish Cap",9,1,18,18,NA,NA,NA,NA,NA,NA,NA
"141","NAFO-SC-YELL3LNO-1960-2009-BAUM",141,141,"Northeast U.S. Continental Shelf","Limanda ferruginea","Yellowtail Flounder","Grand Banks",7,2,45,48,74120.8,74120.8,"NAFO110",74120.8,11.9066,132200,1
"142","NEFSC-ACADREDGOMGB-1913-2007-MILLER",142,142,"Northeast U.S. Continental Shelf","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank",7,1,0,95,NA,NA,NA,NA,NA,NA,NA
"143","NEFSC-AMPL5YZ-1960-2008-OBRIEN",143,143,"Northeast U.S. Continental Shelf","Hippoglossoides platessoides","American Plaice","Gulf of Maine / Georges Bank",7,1,29,28,38834.6,38834.6,"NEFSC111",38834.6,11.2602,52640.2,1
"144","NEFSC-ATHAL5YZ-1800-2007-COL",144,144,"Northeast U.S. Continental Shelf","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank",7,1,208,115,48737.2,48737.2,"NEFSC112",48737.2,11.4873,11928.6,1
"145","NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD",145,145,"Northeast U.S. Continental Shelf","Pomatomus saltatrix","Bluefish","Atlantic Coast",7,1,26,27,189909,189909,"NEFSC113",189909,12.8474,365924,1
"146","NEFSC-BSBASSMATLC-1968-2007-SHEPHERD",146,146,"Northeast U.S. Continental Shelf","Centropristis striata","Black sea bass","Mid-Atlantic Coast",7,1,40,40,10649.2,10649.2,"NEFSC114",10649.2,9.96638,15024.1,1
"147","NEFSC-BUTTERGOMCHATT-1965-2005-OVERHOLTZ",147,147,"Northeast U.S. Continental Shelf","Peprilus triacanthus","Atlantic butterfish","Gulf of Maine / Cape Hatteras",7,1,0,41,NA,NA,NA,NA,NA,NA,NA
"148","NEFSC-CODGB-1960-2008-BAUM",148,148,"Northeast U.S. Continental Shelf","Gadus morhua","Atlantic cod","Georges Bank",7,1,31,48,5301680,5301680,"NEFSC115",5301680,16.1767,130763,1
"149","NEFSC-CODGOM-1893-2008-BAUM",149,149,"Northeast U.S. Continental Shelf","Gadus morhua","Atlantic cod","Gulf of Maine",7,1,26,115,35817.9,35817.9,"NEFSC116",35817.9,11.1793,52160,1
"150","NEFSC-HAD5Y-1956-2008-BAUM",150,150,"Northeast U.S. Continental Shelf","Melanogrammus aeglefinus","Haddock","Gulf of Maine",7,1,32,52,7.27e+15,7.27e+15,"NEFSC117",7.27287e+15,37.2161,20102,1
"151","NEFSC-HADGB-1930-2008-BAUM",151,151,"Northeast U.S. Continental Shelf","Melanogrammus aeglefinus","Haddock","Georges Bank",7,1,78,77,394217,394217,"NEFSC118",394217,13.5778,447882,1
"152","NEFSC-HERRNWATLC-1960-2005-OVERHOLTZ",152,152,"Northeast U.S. Continental Shelf","Clupea harengus","Herring","Northwestern Atlantic Coast",7,1,0,46,NA,NA,NA,NA,NA,NA,NA
"153","NEFSC-ILLEXNWATLC-1967-2005-HENDRICKSON",153,153,"Northeast U.S. Continental Shelf","Illex illecebrosus",NA,NA,7,3,39,39,5.27363,5.27363,"NEFSC119",5.27363,2.35587,9.3,1
"154","NEFSC-MACKGOMCHATT-1960-2005-OVERHOLTZ",154,154,"Northeast U.S. Continental Shelf","Scomber scombrus","Mackerel","Gulf of Maine / Cape Hatteras",7,1,0,46,NA,NA,NA,NA,NA,NA,NA
"155","NEFSC-MONKGOMNGB-1964-2006-RICHARDS",155,155,"Northeast U.S. Continental Shelf","Lophius americanus","Monkfish","Gulf of Maine / Northern Georges Bank",7,1,27,27,68431.7,68431.7,"NEFSC120",68431.7,11.8267,127270,1
"156","NEFSC-MONKSGBMATL-1964-2006-RICHARDS",156,156,"Northeast U.S. Continental Shelf","Lophius americanus","Monkfish","Southern Georges Bank / Mid-Atlantic",7,1,27,27,78932,78932,"NEFSC121",78932,11.9695,152672,1
"157","NEFSC-POLL5YZ-1963-2007-MAYO",157,157,"Northeast U.S. Continental Shelf","Pollachius virens","Pollock","Gulf of Maine / Georges Bank",7,1,44,45,3.72438,3.72438,"NEFSC122",3.72438,2.00805,6.019,1
"158","NEFSC-QUAHATLC-1978-2008-CHUTE",158,158,"Northeast U.S. Continental Shelf","Arctica islandica","Ocean quahog","Atlantic Coast",7,1,31,31,2.46e-06,2.46e-06,"NEFSC123",2.46409e-06,-12.2205,2412000,1
"159","NEFSC-SCALLGB-1964-2006-HART",159,159,"Northeast U.S. Continental Shelf","Placopecten magellanicus",NA,NA,7,1,25,43,51023.4,51023.4,"NEFSC124",51023.4,11.5332,84106,1
"160","NEFSC-SCALLMATLC-1964-2006-HART",160,160,"Northeast U.S. Continental Shelf","Placopecten magellanicus",NA,NA,7,1,32,43,93935.1,93935.1,"NEFSC125",93935.1,12.1435,85161,1
"161","NEFSC-SCUPNWATLC-1960-2007-TERCEIRO",161,161,"Northeast U.S. Continental Shelf","Stenotomus chrysops","Scup","Northwestern Atlantic Coast",7,1,0,48,NA,NA,NA,NA,NA,NA,NA
"162","NEFSC-SDOGATLC-1962-2006-SOSEBEE",162,162,"Northeast U.S. Continental Shelf","Squalus acanthias","Spiny dogfish","Atlantic Coast",7,2,16,25,NA,NA,NA,NA,NA,NA,NA
"163","NEFSC-SFLOUNMATLC-1940-2007-BAUM",163,163,"Northeast U.S. Continental Shelf","Paralichthys dentatus","Summer flounder","Mid-Atlantic Coast",7,2,26,26,90994.1,90994.1,"NEFSC126",90994.1,12.1117,164410,1
"164","NEFSC-SHAKEGOMNGB-1955-2005-COL",164,164,"Northeast U.S. Continental Shelf","Merluccius bilinearis","Silver Hake","Gulf of Maine / Georges Bank",7,1,43,51,35.5039,35.5039,"NEFSC127",35.5039,4.26279,25.418,1
"165","NEFSC-SHAKESGBMATL-1955-2005-COL",165,165,"Northeast U.S. Continental Shelf","Merluccius bilinearis","Silver Hake","Southern Georges Bank / Mid-Atlantic",7,1,43,51,125.067,125.067,"NEFSC128",125.067,5.522,5.522,1
"166","NEFSC-STRIPEDBASSGOMCHATT-1982-2006-SHEPHERD",166,166,"Northeast U.S. Continental Shelf","Morone saxatilis","Striped bass","Gulf of Maine / Cape Hatteras",7,1,0,25,NA,NA,NA,NA,NA,NA,NA
"167","NEFSC-SURFMATLC-1965-2008-JACOBSON",167,167,"Northeast U.S. Continental Shelf","Spisula solidissima","Atlantic surfclam","Mid-Atlantic Coast",7,1,28,13,NA,NA,NA,NA,NA,NA,NA
"168","NEFSC-TILEMATLC-1973-2008-NITSCHKE",168,168,"Northeast U.S. Continental Shelf","Lopholatilus chamaeleonticeps","Tilefish","Mid-Atlantic Coast",7,2,33,36,9364.41,9364.41,"NEFSC129",9364.41,9.83782,13850,1
"169","NEFSC-WEAKFISHATLC-1981-2008-STANTON",169,169,"Northeast U.S. Continental Shelf","Cynoscion regalis","Weakfish","Atlantic Coast",7,1,0,28,NA,NA,NA,NA,NA,NA,NA
"170","NEFSC-WHAKEGBGOM-1963-2007-SOSEBEE",170,170,"Northeast U.S. Continental Shelf","Urophycis tenuis","White hake","Gulf of Maine / Georges Bank",7,1,45,45,50198.5,50198.5,"NEFSC130",50198.5,11.5169,65856.9,1
"171","NEFSC-WINDOWGOMGB-1975-2007-HENDRICKSON",171,171,"Northeast U.S. Continental Shelf","Scophthalmus aquosus","Windowpane","Gulf of Maine / Georges Bank",7,1,33,33,1.98746,1.98746,"NEFSC131",1.98746,1.38,3.305,1
"172","NEFSC-WINDOWSNEMATL-1975-2007-HENDRICKSON",172,172,"Northeast U.S. Continental Shelf","Scophthalmus aquosus","Windowpane","Southern New England /Mid Atlantic",7,1,33,33,1.16497,1.16497,"NEFSC132",1.16497,0.845845,1.917,1
"173","NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON",173,173,"Northeast U.S. Continental Shelf","Pseudopleuronectes americanus","Winter Flounder","Georges Bank",7,1,25,26,8113.19,8113.19,"NEFSC133",8113.19,9.69439,19121,1
"174","NEFSC-WINFLOUND5Y-1982-2008-NITSCHKE",174,174,"Northeast U.S. Continental Shelf","Pseudopleuronectes americanus","Winter Flounder","Gulf of Maine",7,1,0,26,NA,NA,NA,NA,NA,NA,NA
"175","NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO",175,175,"Northeast U.S. Continental Shelf","Pseudopleuronectes americanus","Winter Flounder","Southern New England /Mid Atlantic",7,1,27,27,94653.8,94653.8,"NEFSC134",94653.8,12.1511,37479,1
"176","NEFSC-WITFLOUN5Y-1982-2008-WIGLEY",176,176,"Northeast U.S. Continental Shelf","Glyptocephalus cynoglossus","Witch Flounder","Gulf of Maine",7,1,0,26,NA,NA,NA,NA,NA,NA,NA
"177","NEFSC-YELLCCODGOM-1935-2008-LEGAULT",177,177,"Northeast U.S. Continental Shelf","Limanda ferruginea","Yellowtail flounder","Cape Cod / Gulf of Maine",7,1,23,73,13580.4,13580.4,"NEFSC135",13580.4,10.2095,33021,1
"178","NEFSC-YELLGB-1935-2008-BAUM",178,178,"Northeast U.S. Continental Shelf","Limanda ferruginea","Yellowtail flounder","Georges Bank",7,1,36,73,33208,33208,"NEFSC136",33208,11.1037,34860,1
"179","NEFSC-YELLSNEMATL-1935-2008-BAUM",179,179,"Northeast U.S. Continental Shelf","Limanda ferruginea","Yellowtail Flounder","Southern New England /Mid Atlantic",7,1,35,73,56219.4,56219.4,"NEFSC137",56219.4,11.6302,199647,1
"180","NIWA-AUSSALMONNZ-1975-2006-JENSEN",180,180,"New Zealand Shelf","Arripis trutta","Australian salmon","New Zealand",46,1,32,32,22408.1,22408.1,"NIWA138",22408.1,10.7103,48200,1
"181","NIWA-OROUGHYNZMEC-1981-2004-JENSEN",181,181,"New Zealand Shelf","Hoplostethus atlanticus","Orange roughy","New Zealand Mid East Coast",46,1,24,24,131808,131808,"NIWA139",131808,12.4822,280089,1
"182","NMFS-MENATLAN-1940-2005-STANTON",182,182,"Northeast U.S. Continental Shelf","Brevoortia tyrannus","Atlantic menhaden","Atlantic",7,3,51,66,1479280,1479280,"NMFS140",1479280,14.9002,3069550,1
