"stock";"sigR";"startbio.1.";"startbio.2.";"interbio.1.";"interbio.2.";"finalbio.1.";"finalbio.2.";"min.yr.";"max.yr.";"res";"max.ct.";"ct.1.";"ct.nyr.";"length.r.";"exp.mean.log.r...";"sd.log.r..";"min.r.";"quantile.r..0.05.";"quantile.r..0.25.";"median.r.";"quantile.r..0.75.";"quantile.r..0.95.";"max.r.";"exp.mean.log.k...";"sd.log.k..";"min.k.";"quantile.k..0.05.";"quantile.k..0.25.";"median.k.";"quantile.k..0.75.";"quantile.k..0.95.";"max.k.";"exp.mean.log.msy...";"sd.log.msy..";"min.msy.";"quantile.msy..0.05.";"quantile.msy..0.25.";"median.msy.";"quantile.msy..0.75.";"quantile.msy..0.95.";"max.msy."
"MARAM-CHAKESA-1917-2008-DEDECKER";0;0.5;0.9;0;1;0.01;0.4;1917;2008;"Medium";94.359;1;23.317;570;0.260737135408811;0.141155224126384;0.219076936651328;0.222694523955349;0.232922021446315;0.253821069434894;0.280384068478713;0.346270474855279;0.429413713458987;728.530771306553;0.105773491997886;501.142820656638;588.906134696611;689.615456459002;743.984294349484;793.390143606962;820.729683693846;826.783211595461;47.4887565919105;0.0354508451027062;45.2745479789279;45.5657723266333;46.1523675581849;47.1535143918749;48.3629293438857;50.9800482826958;53.7993998978695
"MARAM-CRLOBSTERSA7-1910-2008-Johnston";0;0.5;0.9;0;1;0.01;0.4;1910;2007;"Medium";3.58863;0.48723;0.94828;134;0.24607191495865;0.101719354658018;0.219019835967908;0.220495280197972;0.227817419505873;0.23763013078052;0.258289041516238;0.303239894830757;0.335396467216072;29.7902674210923;0.0835006082922982;23.0709557299493;25.0715767598959;28.6176513328695;30.6496031943973;31.7396456463695;32.5498998628335;32.6369167001616;1.83263703785962;0.0185862695709237;1.78703303554192;1.79160183707519;1.80951537136374;1.82270285772122;1.84920160547142;1.90067284894892;1.93447926178085
"MARAM-CRLOBSTERSA8-1910-2008-Johnston";0;0.5;0.9;0;1;0.3;0.7;1910;2007;"Medium";2.5634;0.24361;1.86333;22370;0.540523870876479;0.412154241333587;0.219946810467441;0.283322171360921;0.388719976243389;0.529656866381377;0.754665637852777;1.07156633487063;1.19954885100454;15.2040803596647;0.345556913939712;7.11821157552099;8.36464566194372;11.5253496883554;15.8034620007767;20.5179624404617;24.760615426424;25.885688603809;2.05454209228075;0.138066273976432;1.41823927529592;1.60348910355752;1.86052206916576;2.07810823718389;2.29868487077621;2.51379618296008;2.59840754698762
"MARAM-CTRACSA-1950-2007-Johnston";0;0.5;0.9;0;1;0.01;0.4;1950;2007;"Medium";120.65;50.345;49;584;0.255980504564302;0.108630274571554;0.21953330713476;0.222703243840135;0.235415172438643;0.250266787016061;0.273595039263738;0.31795083138475;0.363944467722917;725.201546439648;0.0601492728633958;571.106042454843;642.468305114872;705.035129952765;737.201311801295;759.977861729478;774.010568289824;777.061390074769;46.4093644421082;0.0670433001865939;42.6266865761229;42.8549930041561;44.1675630385557;45.7202935555983;47.9477778727137;52.8955348032542;63.4609511869365
"MARAM-DEEPCHAKESA-1917-2008-DEDECKER";0;0.5;0.9;0;1;0.3;0.7;1917;2008;"Medium";203.658;0;107.181;6472;0.395941225418946;0.341923527186675;0.218227579094269;0.24863142693767;0.29904663698961;0.375721626208938;0.500920411600175;0.748959890726836;0.998153464443244;1235.1411059529;0.305046062735382;528.713404092013;692.518417675868;1006.99849745671;1297.67382916945;1598.56133439143;1840.32886656721;1896.1984530637;122.260820764075;0.0611699413520591;102.964792582209;108.842256423198;117.090171625135;123.654393158217;128.709871797519;132.373715146202;133.481266100119
"MARAM-KINGKLIPSA-1932-2008-DEDECKER";0;0.5;0.9;0;1;0.01;0.4;1932;2008;"Medium";11.37;0.6;2.404;1145;0.286438742108007;0.214557084848988;0.218799556068148;0.225646212291449;0.243597022313719;0.270972538601235;0.320204266354655;0.442499337008083;0.694339998191268;61.5877742064986;0.151226457511199;33.7189092021892;45.3010628558055;56.7549277430322;64.0643097953372;69.2477344421322;72.8847943657837;73.571135788929;4.41028114323536;0.0641186826708764;3.99758708460613;4.07595573573171;4.21582078729603;4.34941610027371;4.55357718441464;5.00548980755553;5.85309683861489
"MARAM-PTOOTHFISHPEI-1960-2008-DEDECKER";0;0.5;0.9;0;1;0.01;0.4;1960;2007;"Medium";24.2712;0;0.8047;6093;0.367208123332127;0.273727767043556;0.21902746938334;0.252892578561843;0.302749769787147;0.349160755581981;0.426583605159222;0.62178959155203;0.986772950349994;32.1455499058264;0.0508592177465449;27.2786755627121;29.0956099654366;31.147256274784;32.5386727849321;33.5197527285175;34.1541257367078;34.3191050213586;2.95102676359944;0.225199598707957;1.87887688940715;2.14594969614418;2.52410565210072;2.85452839389941;3.3288399928866;4.52860006563755;6.72946479166442
"MARAM-SAABALONESA-1951-2008-PLAGANYI";0;0.5;0.9;0;1;0.01;0.4;1951;2008;"Medium";2.7124;0.24369;0.024;1150;0.252446579452551;0.105458880429282;0.216473913325042;0.222341129863573;0.233491603266303;0.24607505145056;0.2677983476634;0.313314279181597;0.376330541156075;17.144507999589;0.0664845817278076;13.2560451400649;14.9005993464568;16.5678284784411;17.4465617524454;18.0462080167818;18.4706993022613;18.5787406845989;1.08201810022328;0.0427447041946426;1.00452065855802;1.01993883829864;1.04657410956923;1.07485697723186;1.11123000526335;1.16873199860542;1.25316041890108
"MARAM-SARDSA-1984-2006-deMoor";0;0.5;0.9;0;1;0.3;0.7;1984;2006;"Medium";373.811;27.154;217.138;29594;0.591270260766769;0.389306973599839;0.220836618527265;0.302838258616296;0.446553356186762;0.594840461084384;0.803399709187976;1.09359845398249;1.19967089706898;1494.43685671463;0.255252307101399;803.837485043904;949.944547658571;1229.23694443594;1546.76938928188;1863.56591276898;2116.70756515421;2179.50576821389;220.904017492283;0.206673127930934;119.846853667262;149.977493451861;192.500716848475;227.430471706407;260.28454300938;294.536718045293;308.009505952891
"MARAM-SSLOBSTERSASC-1973-2008-Johnston";0;0.5;0.9;0;1;0.01;0.4;1973;2008;"Medium";0.973;0.372;0.363;4542;0.343919702957259;0.259535247013225;0.219486637041285;0.243995378494698;0.280579675810379;0.327419513740918;0.407644542009995;0.564164516130483;0.921030354186589;4.90879815073597;0.223195559060409;2.11010366498765;3.16763442586035;4.24595085015263;5.18600236507802;5.89458188269865;6.40678012652223;6.52715502098918;0.422058100469564;0.0590084440064103;0.357941996637723;0.379447140744862;0.406169774558447;0.424936017186822;0.439542617805053;0.462056136331742;0.521438773951869
